modality,query,answer,pdf,page
table,"According to NH DHHS, what is the percentage of adults smoking between 2008 and 2009 in the city of Manchester?",20.6,1246906,62
table,What is the year end proforma balance in FY19 for total long-term debt of Abenaki Water Company?,"$938,386 ",1260223,1
table,How much adjustment did Abenaki Water Company do on total equity capital for FY19?,"$6,631 ",1260223,1
table,"What is the maximum amount disbursed in June 2018, from the municipal water district of Orange County?",326.92 USD,1271006,36
table,What is the total annual budget of community development department in the city of Sebastian for year 2020/2021?,"514,512.00",1280950,57
table,Which general fund department of the city of Sebastian received the highest annual budget for the year 2020/2021?,Parks/Recreation department,1280950,57
table,"In the 1950s, were people who were schizophrenics more likely to be employed or unemployed? ",Unemployed,1305807,5
table," In the town of Bristol, what is the actual % of budget on FICA in 2019?",24.47%,1306987,16
table,"In the year 2019, how much is the user fees on the issued budget of the town of Bristol?","55,460.00",1306987,16
table,"With a percentage, how much of the Town of Bristol's Listing Department's budget was used in 2019? ",21.93%,1306987,6
table,What was the Town of Ocean Breeze's current millage rate for 2022,3.08,1308437,7
table,What is the collection allowance for the millage rate in the town of ocean breeze in 2022?,5%,1308437,7
table,Was the total reserves spent on the City of Cockburn in the 2019 to 2020 year within budget?,"No, actual 5,254,526 over budget",1321440,617
table,"What is the closing balance of the City of Cockburn as of April 30, 2020?","21,122,370",1321440,617
table,What is the total audited income of Betex India Limited when the fiscal year ended on March 2020?,Rs. 5689.10 lakhs,1330778,1
table,"In the fiscal year 2019-2020, how much did the materials consumed by Betex India Limited cost?",Rs. 2211.03 lakhs,1330778,1
table,"what is Valley View Independent School District's primary source of revenue as of August 31, 2014?",State program Revenues,1334323,69
table,"What is the total expenditure recorded till August 31, 2014 for the Valley View Independent School District ?","6,294,230 USD",1334323,69
table,What was the total value of Credit Bank of Moscow's assets September 2018?,"1,948,853",1342176,6
table,"When the fiscal year ended in March 2020, how much profit did Nirlon Limited gain from operating activities before income tax cut?","Rs. 14,649.08 lakhs",1370808,7
table,What is the total estimated population in the continent of Australia at the end of the year 1881?,"2,206,802",1385012,93
table,Which colony of United Kingdom had the highest estimated population in the year 1871?,British India,1385012,93
table,"In the town of Canton, what was the original budget given for employee program in the fiscal year 2014?","$10,000 ",1394114,29
table,How much was the accounting expense from Dec 20 - Feb 21 of the NorCal H&I Committee?,685,1395993,41
table,What was the Martin County Population in 2019?,"161,000",1396830,15
table,What is the net investment in capital assets of Harris County Appraisal District for 2013?,"$9,021,196 ",1397880,60
table,What were the legal expenses of the Town of Bath in 1995?,"1,230",1402494,15
table,What is the cost of materials utilized in the first quarter of 2021 at Vippy Spinpro Limited?,"2,192.94",1404153,5
table,What was the total expenses amount for Vippy Spinpro Limited in 2020?,2402.97,1404153,5
table,"In Bristol, how many hazardous incidents were reported for January 2021?",47,1407201,22
table,"In 2011, how much population is estimated to be in Darrington Town?","1,345",1407894,61
table,What was the estimated population of Bothell Area in 2011?,"39,760",1407894,62
table,How much is the employment growth rate in Everett City across years 2011-2035?,31.40%,1407894,66
table,What is the total amount spent on judges for FWD Fall Convention/Contests for fall 2008,"5,950 USD",1408320,90
table," In 2019, what is the total income of Youth Sport Trust from charitable activities?","9,840,638 Euros",1409378,22
table,"What is the total of noncurrent assets of Hatsun Agro Product Limited as at March 31, 2021?","239,906.08",1417811,4
table,How many percent of manufactured fertilizer products of APEC economics exported by Japan in the year 1992?,0.93,1417915,14
table,What is the H.S code for ammonium sulphate?,3102.21.00,1417915,16
table,What is the average dispatch time for structure fire in C3 in the city of Humble?,0:00:18,1449377,43
table,What is the total call time for accident major in MED 1 in the city of Humble?,17:38:16,1449377,43
table,What was the total revenue of Durant Industrial Authority Fund 020 in January 2021? ,"11,835.98",1452020,5
table,What is the total In-Kind budget for year 1 of the TRCA agreement?,"$1,256,455 ",1452082,80
table,What items are included in the Winmore Leasing and Holding Limited's Shareholders' fund?,"Share capital, Reserves and Surplus",1456765,33
table,How much is the aggregate value of Winmore Leasing and Holding Limited's immovable properties in 2018?,"2,23,36,790",1456765,40
table,How much is the total equity of the Shire of Serpentine Jarrahdale for the year 2016?,"$275,958,647 ",1462854,5
table,When is the city tour of Dubai  during the International Youth to Youth Summit for 2017? ,"Tuesday, April 25th, 2017 at 17:00-19:30",1465272,13
table,Which location in Moses Lake county had the highest traffic counts in the year 2013?,"150' S/O Broadway, Alder Street",1476497,46
table,What is Bank of America Corporation and Subsidiaries' consumer banking total deposits in the second quarter of 2021?,"987,655",1487957,32
table,What is the average price given by Prime Residences for the luxury apartments in Jawatte project?,"50,800,000",1504717,23
table,How many units does the Prime Residences offer in total in Barnes Place location?,15,1504717,23
table,How much was the total expenses of the Anjani Finance Limited in the year end 31/03/2021?,83.41,1505923,2
table,How much was the profit/(loss) before tax in the end of quarter 30/06/2021 of the Anjani Finance Limited?,15.95,1505923,2
table,"In Van Buren, what was the proposed budget for total expenditure of solid waste/ sanitation operations in year 2021 to 2022?","335,400",1555645,41
table,"In Van Buren, what was the proposed budget for total expenditure of courthouse & jail maintenance operations in year 2021 to 2022?","74,205",1555645,58
table,Which college got the first rank in the 2006 cross country Southeastern Classic?,Virginia Intermont College,1559000,1
table,How many schools participated in the 2006 Southeastern Classic cross country race?,25,1559000,1
table,How much was the final budget of fire department in the year 2018/19 for the City of of Ponca City?,"5,592,441",1565378,97
table,What is the number code of Finance Department of City of Ponca City?,1110,1565378,97
table,"What is the projected payroll of KMS Actuaries for all departments as of January, 2019?","27,381,485",1569418,2
table,What are the total assets of Town of Ashland in 2014?,"$9,840,914 ",1569715,105
table,What is the total audited income of Budge Budge Company Limited at the end of the year 2018?,"Rs. 20,343.74 lakhs",1570322,2
table,Which ISO/IEC 27001 Controls do not fully satisfy the intent of the NIST SP 800-53 Controls?,"{""text"":[""Access Control Decisions - A.9.4.1*"",""Role-Based Training - A.7.2.2*"",""Content of Audit Records - A.12.4.1*""]}",1587443,17
table,"For 2021, how much budget was requested for general fund revenue in total in the city of Morgantown?","$39,716,045 ",1602122,18
table,"In the city of Morgantown, what was the total amended budget for fiscal year 2020 for all personnel services in city hall?","371,314",1602122,28
table,Does the mean death rate of Australia exceed that of the mean death rate in Australasia (Australia with Tasmania and New Zealand) in the year 1873??,"yes, 0.23",1618689,45
table,Are the mean marriage rates in New Zealand mostly increasing or decreasing between the years 1865 and 1881?,mostly decreasing,1618689,4
table,How much amount did the Wantage Town Council receive from fairs in the FY20?,"2,300",1627614,3
table,What is the total expenditure of Wantage Town Council for year 2020/2021?,"370,528",1627614,3
table,What was the actual expense in 2009-2010 for equipment for the Department of Parks & Grounds in the City of Melissa? ,$428 ,1629440,110
table,What was the proposed budget for total debt service expenditure in the city of Melissa for year 2010-2011?,"1,174,026.27",1629440,117
table,What was the total expenses for the year ended 31 March 2020 for sutle j textiles?,"2,345.70",1631010,1
table,What is Sutlej Textiles and Industries' revenue from operations for the first quarter of 2020?,528.92,1631010,1
table,How much external debt did Surinam have in the year 1968?,6.3 millions Surinam guilders,1652446,59
table,"How much interest income did PBM Polytex Limited receive from investing activities at the end of the fiscal year, on March 2019?",Rs. 37.02,1652701,15
table,"How much was the net cash flow from investing activities of PBM Polytex Limited at the year end March, 2019?","2,362.97 lakhs",1652701,7
table,"How much was the profit before taxation of PBM Polytex Limited at the year end March, 2020?",159.29 lakhs,1652701,7
table,What is the minimum hourly compensation for an assistant engineer in the city of La Mesa?,33.85,1667648,57
table,"In 2021, what was the minimum pay for an Administrative aide in La Mesa County?",$23.10/hour,1667648,64
table,How much was the revenue from operations of Gland Pharma Limited at the quarter end 30-Jun-21?,"11,539.00",1679161,1
table,"In Livingston County, what is the total valuation of commercial property in the Iosco township?","717,600 USD",1690070,77
table,"What is the total valuation of residential properties in Howell, Brighton, and Fenton in Livingston County?","503,011,415 USD",1690070,77
table,"What is the total estimated costs for Macedo Contracting Services, Inc. across all active contracts in FY19?","$6,631,775 ",1696634,254
table,Which specialty doctors had the most density in 1965?,General and Family Medicine,1697417,70
table,What is the total of income of Neelamalai Agro Industries Limited in the quarter end 31/12/2020?,759.62,1721391,1
table,What was the cost of Neelamalai Agro Industries Limited's materials in the year 2021?,485.53,1721391,1
table, In the year 2018 how much was the Progressive Credit Union's bank advance?,"1,355,243",1728679,62
table,What is the value of total cash and cash equivalents for Progressive Credit Union in 2019?,"947,943",1728679,62
table,How much were the depreciation and amortization expenses of Mangalam Organics Limited at the end of the quarter on June 2018?,Rs. 137.30 lakhs,1731763,2
table,"What is the total un-audited income of Mangalam Organics Limited at the end of the quarter, on June 30, 2017?","Rs. 3,852.62 Lakhs",1731763,2
table,Who owns the Michigan property located at 619 W. End in the city of Alma?,Tracy Mikel,1740459,1
table,What are the financial liabilities of JSC TBC Leasing in FY2017?,"Loans from banks and financial institutions, Debt securities in issue, Advances received from customers, Subordinated loan, Other financial liabilities",1748512,36
table,What is the total amount of total financial assets of JSC TBC Leasing for the year 2017?,"183,138,127 Georgian Lari",1748512,36
table,"How much compensation did Doug Lansdale receive in the Carroll County Fiscal Court on June 25, 2021?",600,1748940,1
table,What is the total comprehensive audited income of BanyanTree Bank Limited at the end of the year 2016?,"Rs. 42,515,550",1764787,2
table,What is included in the Policy Incentives program of Victorville disposal in the city of Adelanto?,"Product and Landfill Bans, Economic Incentives, Ordinances, Other Policy Incentives",1771748,21
table,What was the budget given for Union/Palmer Park Improvements by Pikes Peak Rural Transportation Authority in 2017?,"150,817",1773240,10
table,What was the average cost of construction per mile for Lancefield railway line that opened in 1882?,"4,198 Euros",1784314,70
table,How much did it cost in total to construct the Castlemaine and Dunolly line that opened in 1882?,"289,879 Euros",1784314,70
table,Who is the instructor for Swim Strokes class in the Decatur County Family YMCA?,Carrie,1825530,9
table,How much was Transport & Investment Barter Company's total capital value in 2019?,"13,915,000",1846598,31
table,What is the country of birth of John A Lindstrom?,Sweden,1853294,30
table,What is the total amount spent by the Philodrill Corporation on Paid-up capital ?,"1,743,479,943.52",2010544,7
table,"In 2008, what was the total income of Trans-Asia Oil and Energy Development Corporation before the income tax was cut?","₱229,171,176",2023897,186
table,"In May 2018, how much was the 'County Open Space Taxes Payable' for  the township of Middletown?   ","402,959.11 USD",2028148,36
table,How much was the opening balance in 2012 for the Samuha Indian Money Contribution?,404080.03,2029194,11
table,"In FY 2004, what is the cost per credit hour in the Mohave district?",$38 ,2033711,17
table,"In Nevada, which city has the highest unemployment rate?",North Las Vegas,2068497,14
table,"What is the value of total resources when it comes to non-expandable income of the town of Amherst, Massachusetts?",2083.79,2071953,145
table,"How much is the interest for Cemetery Perpetual Care in expendable fund of the town of Amherst, Massachusetts?","2,264.63",2071953,145
table,"In 2020-2021, which accounts have more than 100% expenditure for the Tamalpais Community Service District ?",Miscellaneous & Vehicle parts.,2086192,15
table,Who is the chamber president of Chesterfield Regional Chamber?,Matt Kasten,2102641,17
table,How many chamber members are there in RiverBend Growth Association?,400,2102641,17
table,What is the DO District's annual budget for Prof-engineering in fy2018?,"224,500 USD",2113852,6
table,What was the final salary of refuse clerk in the fiscal year 2012 for the town of Amherst?,"$37,370.00 ",2132040,299
table,What is the estimated budget for salaries of years 2016-2017 for the city of Los Banos in wastewater administration?,"204,702",2136247,91
table,"In 2013 in Prince Edward Island , what are the realized/unrealized gains from Canadian short term investment?",423,2157001,36
table,"In Prince Edward Island, what is the total investment income of Teachers' superannuation fund investments in 2012?","{""text"":[""1. Equity Investment & Real estate 2. Foreign Infrastructure"",""$15,914,843""]}",2157001,36
table,"In 2016, what is the total of incoming resources in North Wales Central?","295,949 Euros",2159007,17
table,"In Amenia, what fund received the highest adopted budget in 2008?",General Funds,2165625,44
table,What was the adopted budget for buildings for the town of Amenia in 2008?,"125,338",2165625,47
table,"In Maricopa County, what is the revenue estimated for detention operations in the year 2020?","203,707,919",2182429,267
table,"In the fiscal year 2020 of Maricopa County, how much revenue is estimated for expedited child support?","637,500",2182429,267
table,"In 2020, how much did Huntington Union Free School District spend in total on school food service?","$1,973,554 ",2230433,21
table,"In 2020, what was the total revenue of Huntington Union Free School District on special aid?","$3,673,302 ",2230433,21
table,What are the current liabilities of Winmore Leasing and Holdings Limited for the fiscal year 2019?,"Short-term borrowings, Trade payables, Other Current Liabilities, Short-term Provisions",2242579,72
table,"In Winmore Leasing and Holdings Limited, who held the highest amount of equity shares in FY2019?",Usha Devi Jatia,2242579,85
table,"What were the court-related expenditures in Morgan County, Illinois for FY16?","Salaries, Services, Materials",2265545,42
table,What were the general expenses of Morgan County for the fiscal year 2016?,"E.D. Director, Other, Medical Insurance, Postage, Professional Fees, Computer Services, Merit Commission, Flood Control, Economic Development, Planning Commission, Animal Control, Solid Waste Planning, Liability Insurance, Health Committee, Drug Court",2265545,42
table,"What were the expenses in the circuit clerk's office for fiscal year 2016 in Morgan County, Illinois?","Circuit Clerk's Salary, Other Salaries, Services, Materials",2265545,44
table,What is the maximum water depth in Wave Energy in Maine?,60.8,2265799,1
table,What is the maximum pay for the profile of Detention Officer in Warren County?,47860 USD,2287197,43
table,What is the pay grade of a Deputy Sheriff in Warren County?,110,2287197,43
table,What is the total amount deposited on 26th April 2017 in Superstition Fire & Medical District?,"14,436 USD",2314789,50
table,What is the total weight of Mitridae remains found in VK-10 test pit?,0.9,2317231,27
table,What is the total budget given for Environment and Public Health Services of Resort Village of Coteau Beach in the year 2018?,"2,320",2341333,1
table,What is the program that the city of Brea offers for affordable housing?,Low & Moderate Income Rent Program,2342003,7
table,"How much did Eaton County, Michigan spent in total for the fiscal year 2020?","$24,408,747 ",2343348,98
table,What is the total income from operations of GI Engineering Solutions Limited consolidated in 31-03-2019?,5.25 lakhs,2348095,1
table,Which Municipality has lowest proportionate cost% in the enrollment list of Northern Berkshire Vocational Regional School District?,Monroe,2355048,2
table,What is the proportionate cost percentage of the Florida location in relation to the enrollments of all schools in the the Berkshire Vocational Regional School District.,4.21,2355048,2
table,"As on 31st March 2021, how much was the  total assets of Jindal Hotels Limited?","8,180.79 lakhs",2395202,2
table,How much was the overall total of non PSCP funds for State Capital Improvement Program for Montgomery County Public Schools?,"90,333",2397236,18
table,Which department in Mayo Clinic had the lowest number of physicians working less than full-time in year 2009?,Radiology,2402490,2
table,"In Mayo Clinic, how many physicians worked less than full-time in the year 2010?",362,2402490,2
table,How much was the loss from operations in Oak Beach Water District?,"$40,672 ",2407280,30
table,How much is the rental income from water plant in the East Farmingdale Water District?,"$75,000 ",2407280,30
table,In 2020 how much were the supplemental taxes for the town of Boothbay Harbor?,"$4,551.76 ",2415001,65
table,"As of 2020, what is the total of collections and credits for the town of Boothbay Harbor?","$ 7,313,786,11",2415001,65
table,What was the net gain from the operations of the Fellowship of Alcoholics Anonymous in November 1981?,$291.63 ,2416020,84
table,What was the highest operating expense in November 1981 for the Fellowship of Alcoholics Anonymous?,"wages, $950",2416020,84
chart,What are the top three consumer complaint categories of 2008?,"Business office, Payment arrangement, Billing/rates",1009210,11
chart,Which 3 categories did extremely well in terms of consumer complaints?  ,"Pay-per-call dispute, Directory listings and Deposits",1009210,11
chart,What's the longest recent US recession?,Recession 12/07 - 6/09,1010876,0
chart,Is the 12-Month default rate usually higher than high-yield spread to worst during recessions? ,"Yes, the 12-Month Default Rate is usually higher than High Yield Spread to Worst during recessions. ",1010876,0
chart,Which allegation is submitted highest to RTAs formal review panel in 2020?,Deliberate,1014669,0
chart,How many total allegations for bad practice are submitted to RTAS formal review panel during the years 2018-2021?,22,1014669,0
chart,"By 2017, which fastest-growing occupation had the highest-paid individuals?",Physician assistants,1015168,60
chart,Which occupation will probably lead with maximum employment changes? ,Personal care aides,1015168,60
chart,Does Montague have a higher daily flow rate in March or Februrary? ,March,1015310,114
chart,How many days did it take FL Proposal to reach a 100% cumulative rate? ,300,1015310,158
chart,Did more teachers agree with personalized professional learning methods over conventional methods?,Yes,1026724,76
chart,Which continent registered the minimum number of COVID-19 confirmed cases per million people between 2020 and 2021?,Africa,1033871,4
chart,"Which continent had the first spike of covid-19 cases in the year 2020, and during which month? ",North America in April of 2020,1033871,4
chart,What province had the least impact on driving and walking as a form of mobility during the COVID-19 pandemic in July of 2021?,Phuket,1039340,11
chart,What is the relative sea level trend in new york?,2.87 millimeters/year ,1057014,17
chart,What is the margin of error for the relative sea level trend with a 95% confidence interval? ,There is a margin of error of 0.09 mm/yr. ,1057014,17
chart,What age group is most concerned about the environmental impact of fast fashion? ,Age group 0-24 years old ,1061225,32
chart,Which sector has the maximum Manufacturing sales in Canada in time period (2021-04/2020-02)?,Chemical,1067421,3
chart,Which non-durable manufacturing sectors in Canada saw little to no growth in sales from 2020 to 2021? ,Textile Mills and Paper sectors ,1067421,3
chart,"In Japan, what is the maximum inorganic arsenic concentration level in rice in 2012?",Between 0.3ppm to 0.4ppm,1067785,14
chart,What is the proposed standard of CODEX for inorganic arsenic concentrations in rice?,0.2ppm in white rice,1067785,14
chart,What is the C/D highway range for 2019 Kia Niro EV model?,180,1067991,15
chart,How much C/D highway range does 2018 Tesla Model 3 Long Range have?,200,1067991,15
chart,What kinds of animals were poached in Singapore in 2016?,Wildlife,1075664,8
chart,What is the percentage of total market value for apartments in Anoka city in 2020?,16.78%,1077654,15
chart,What percentage of Anoka's total market value is residential in 2021?,63.54%,1077654,15
chart,What percentage of women's cholesterol intake comes from eggs?,~27,1086222,12
chart,Are meat products the main reason for cholesterol intake? ,Yes,1086222,12
chart,Between Burgerspital and St. Otmar which system is more frequently used?,"St. Otmar 5,0",1086404,92
chart,What percentage of individuals have rated having a negative experience at Chipotle?,20%,1088696,1
chart,Which American quick service Mexican restaurant do people have the best experience with? ,El Pollo Loco,1088696,1
chart,"In June 1996, how many Florida residents found it difficult to afford health care from Blue Cross Blue Shield?",53%,1094494,28
chart,How many Floridians found it not that difficult to afford health care costs from Blue Cross Blue Shield in January 2001?,47%,1094494,28
chart,What are the top two reasons why replicating a UIA project in a city would be difficult? ,"Lack of funding to replicate successful innovations and differences in terms of institutional, legal, and financial reasons. ",1108655,19
chart,What percentage of air show participants are college graduates?,30.20%,1124304,1
chart,How many passenger assists requested by ScotRail in year 2020-21?,"6,580",1138736,1
chart,What station facility owner requested the least passenger assistance from 2020 to 2021?,Heathrow Express,1138736,1
chart,What country did the U.S. export the most agricultural goods to between January 2021 and April 2021?,China,1158777,3
chart,What is the percentage of Accelerated Ventures in Emerging Markets likely to grow in regard to equity?,5%,1163031,18
chart,"In 2021, what study was made to regulate flood protection for new buildings?",Make recommendations for resilient zoning,1166908,63
chart,What governmental policy/regulations are implemented from 2020 to 2025 to establish adapted zoning policies and regulations?,Advocate for state regulations to be updated to include climate change consideration,1166908,63
chart,During what period did most people begin living in their current residence in San Marino?,"In San Marino, the period during which most people started living in their current residence was 2000-2009(29.1%)",1167316,225
chart,What is the most commonly occurring mortgage payment in the SCAG region?,the most commonly occurring mortgage payment in the SCAG region is $2000-$3000/mo,1167316,236
chart,what percentage of mortgage payments in san marino are between $500-$1000?,1.90%,1167316,236
chart,How much was the CIP expenditure in the March FY 2020-2021?,"922,564",1167316,370
chart,Which month has the maximum CIP expenditure in FY 2019-2020?,March,1167316,370
chart,How does ApolloMed reduce administrative costs? ,"ApolloMed reduces administrative costs by their tech-enabled MSO that utilizes proprietary workflow automation tools, allowing to scale profitability. ",1177367,6
