pdf,query,answer,gt_page
1061646.pdf,What does the Municipal Code 16.12.030 of Moses Lake allow?,Moses Lake Municipal Code 16.12.030 allows for the issuance of a building permit to a  proponent who wishes to build on unplatted property after a resolution from the City  Council.,39
1061646.pdf,How many sets of plans are required to submit for a permit application for a fire alarm and sprinkler system?,A minimum  of  three (3) sets  of  plans,34
1102434.pdf,What are the two forms of AR that developers and tech companies will need to meet consumer demand? ,object  visualization (placing objects in your space) or  selfie lenses and filters to dress up one’s  appearance,14
1243103.pdf,"By comparing the carrying value of property, plant and equipment in Saudi Printing and Packaging Company, what amount did the management acquire after the impairment assessment in 2020?",SR 785.9 million  (2019: SR 824 million),6
1243103.pdf,3.	What is the total revenue of SAUDI RESEARCH AND MARKETING GROUP for the year December 2020?,2.3 billion,5
1106182.pdf,Approximately how many trips can Connecticut Avenue in DC can handle in a single day?,"40,200",10
1210913.pdf,Who delivered the ten commandments?,MOSES,4
1319738.pdf,How many tons of freight is moved by United States in 2017?,10.77 billion tons,26
1319738.pdf,"In 2018, what was the estimated number of deskless workers worldwide?",2.7 billion,4
1319738.pdf,Who is the managing director of Structure Research company?,Philbert Shih,18
1162329.pdf,What year did Heman Marion Sweatt file a suit against University of texas?,1946,8
1022784.pdf,"On which date, Patang organized an event on ""Celebrating youth-led social action""?",29 th   December 2015,14
1283541.pdf,What is the posted speed limit for Lincoln Avenue roadway?,25 mph,8
1283541.pdf,"What were the identified peak hours for the traffic movement by Bertin Engineering in 2020, during weekdays and Saturdays at Lafayette Avenue, Lincoln Avenue, May Street and Wagaraw Road intersection?",7:15 AM to 8:15 AM,10
1224605.pdf,How many adults were there with developmental disabilities in open conservatorship cases in Los Angeles County?,"more than 12,500",7
1106908.pdf,"In 2016, ETPs and inverse ETPs that traded over a certain amount became eligible for the TIER 1 NMS Stock designation. What was that trading amount?","$2,000,000 CADV",20
1096078.pdf,What are the three distinctive perspectives on the effect of debt on growth?,"The neoclassical school stated that as  public debt increases it should have a negative impact on economic growth, while on the  contrary the Keynesian economists’ view was that its effect is positive (during economic  recession). The Ricardian equivalence proposition assumed the effect to be neutral or  irrelevant.",8
1119743.pdf,Which organization assessed Oakland’s current performance to develop an ongoing accountability tool to monitor department progress going forward in 2020?,PEC,4
1054125.pdf,"What is the maximum contract limit between the City of Humble, Texas, and ARKK Engineers for managing the West Townsen Extension Project?","$96,150.00",1
1054125.pdf,"Who criticized the unfair, closed-door process of BDAC to FCC leadership?","The presidents of NLC, the National Association of Counties (NaCO), and the U.S. Conference  of Mayors (USCM)",55
1194605.pdf,"Between 2016 and 2017,of the Rs allocated by the Standing Committee on Agriculture, how much was actually released?","Rs 3,892 crore",1
1194605.pdf,When did the US administration remove India from the Generalized System of Preferences (GSP)?,June 2019,7
1111565.pdf,"Which organization, established in 1978, was created to support sound employee benefit programs and public policy?",The Employee Benefit Research Institute (EBRI),1
1111565.pdf,"In America, what is the estimated average of retirement deficit for widows of age 40 to 44?","$17,964",13
1319081.pdf,What proportion of the 2014 EU budget goes toward rural development and European farmers?,€55 billion,0
1319081.pdf,How much budget the European Commission is proposing for 2021-2027?,1.279 trillion euro,1
1319081.pdf,Approximately how many member organizations are involved in the climate action network?,140,0
1014669.pdf,"During the investigation of Project Washigton, who received reports about multiple breaches of the RTAS Rules during the second period of 2020 before multiple officials were suspended?",NSAR,6
1014669.pdf,"According to the RTAS rules, the duration of each suspension is dependent on which factors?","the severity of  the breach, the Fair Culture Outcome, the impact of mitigating circumstances identified and  evidenced, determination from previous/ongoing investigations, the level of deliberate acts  involved in the breaches, any attempts to mislead NSAR or Network Rail and the level of co- operation during the investigation",0
1077654.pdf,Who was the City Assessor of the Anoka in 2021?,Scott Varner,4
1242968.pdf,What is the expected total number of jobs available in the US in the third quarter of 2021?,9.3 million,1
1242968.pdf,By what percentage did the US GDP increase in the second quarter of 2021?,10% annualized,5
1015168.pdf,Which two countries had the fastest growing rate of urbanisation of major population bases from 1990 to 2015?,China and India,10
1015168.pdf,"What was the purpose of the new ""Skills Agenda for Europe"" that the European Union (EU) approved in 2016?","to ensure that  people develop a broad set of skills from early on in life and to make the most of Europe’s human  capital, which will ultimately boost employability, competitiveness and growth",5
1015168.pdf,Name the basic four aspects of globalization that was identified by the International Monetary Fund in 2000.,"trade and transactions; capital and investment  movements manifested in, among other things, global value chains (GVCs); migration and movement  of people; and the dissemination of knowledge",9
1375277.pdf,What is the average annual temperature at the upper Saint John River basin?,approximately 40° Fahrenheit,18
1375277.pdf,What is the total drainage area of the St. John River Basin?,"21, 600  square m i l e s",17
1022031.pdf,"What was the production percentage share of the largest producer (EU) in the biodiesel market, for the year 2009-2011?",48.9%,22
1022031.pdf,What do the Welthungerhilfe and Global Hunger Index study believe is the cause for the 2011 price increase and increasing volatility?,Biofuels,9
1022031.pdf,How many undernourished people were identified in the world from between 2010 and 2012?,868 million,31
1024757.pdf,"What is the first cross-country pipeline that delivers natural gas to several power and fertilizer plants across the states of Gujarat, Madhya Pradesh, Rajasthan, and Uttar Pradesh?",Hazira-Vijaipur-Jagdishur Nat- ural Gas Pipeline Project,2
1024757.pdf,How much was the global liquefied natural gas trade between regions in 2020?,356.1 million tonnes,10
1024757.pdf,"As of 2020, what was the total number of natural gas vehicles manufactured globally?",29.5 million units,15
1209612.pdf,What was the cost per head for attending the Community Lunch at Seaford Christian Churches in 2021?,$15,1
1209612.pdf,Which days of the year are the only ones when Mass is not celebrated?,Good Friday and Easter Saturday,3
1209612.pdf,"In 2021, when were parishioners invited to the Community Lunch at the Seaford Christian Churches?","12.00noon on Wednesday, 14  April",1
1319927.pdf,Does Admiral Markets UK Ltd provide investment advice?,We do not provide investment advice and we provide execution only services.,35
1319927.pdf,What is the maturity date of contracts for differences?,no set maturity date. (This can be subject to  change depending on the terms of the underlying asset class and or product).,32
1319927.pdf,Which type of trading contracts may differ from trading on other electronic trading systems as well as from trading in a conventional or open market?,Electronic trading Trading in OTC contracts through the Online Facility,34
1014077.pdf,What was the precision rate seen by the time signals of HBG for a distance of 1000km?,0.1 ms,3
1014077.pdf,What is the NPM's short-term VLF frequency measurement precision range?,precisions  ranging from  2.5  x  10-  '  '  (24-hour observing time)  to  3.1  x  (8-day observing time),3
1014077.pdf,What particular type of measurements  was used by the system proposed by NBS [IO] in 1959 to distribute more accurate time and frequency at HF?,round-trip,7
1113772.pdf,"Who opposed to approve the consent agenda in the Humble City council meeting, held on June 28, 2018? ",none (0) opposed,7
1334401.pdf,What was the rate of decline in heroin initiation in the United States in 2018?,57% decline,18
1334401.pdf,What was the decrease in opioid use disorder from 2018 to 2019?,2.0M to 1.6M,18
1334401.pdf,How many individuals are surveyed annually by National Survey on Drug Use and Health?,"67,500 persons",1
1379508.pdf,How much revenue was collected through taxes for year 2014 in Peters Township?,"$12,410,267",28
1379508.pdf,"What was the Peters Township's net position increase, registered by the end of year 2014? ","$1,879,195",23
1096626.pdf,Who was the certified auditor in charge of PricewaterhouseCoopers in the year 2021?,Elīza Gulbe,26
1096626.pdf,What is the responsibility of the people charged with governance?,for overseeing the Company’s financial reporting  process,25
1154736.pdf,How many members are working for World Vision International?,"40,000 staﬀ members",4
1154736.pdf,What has come of the collaboration between World Vision and Irish Aid in 2017?,"support and empower refugees who are the vic,ms of the world’s most devasta,ng humanitarian crises",2
1178795.pdf,What year was The Australasian Gaming Council (AGC) established?,2000,1
1178795.pdf,How much did Crown Melbourne contribute for Australian GDP in 2015?,$3.1 billion,15
1178795.pdf,"How many Australian adults, as reported by the AGC in 2021, play EGMs? ",3.1 million,6
1301765.pdf,"As of the 14th of April 2021, how many patients enrolled for chronic polytherapy?","32,962",0
1301765.pdf,What are some examples of community-based healthcare providers?,"LHUs, LHDs, GPs",2
1301765.pdf,"In chronic polytherapy, what is the relative risk decrease of reducing admissions?",77%,1
1303168.pdf,"In FY 2019, what was the Georgia's per capita state funding?",$3.26,5
1303168.pdf,"By the end of fiscal year 2019, what percentage of public library systems in Georgia were above the state average of 1.86 items per capita?",60%,35
1303168.pdf,What place does Georgia hold in terms of state funding per person for public libraries in FY2018?,10th,5
1178516.pdf,What was the population of Bangladesh in 2007?,135.43 million,2
1178516.pdf,"By the end of 2007, what percentage of Bangladeshi population was living in rural areas? ",74 percent,2
1075664.pdf,What is the maximum sentence for someone found guilty of animal cruelty in Singapore under the Animals and Birds Act?,18 months,11
1075664.pdf,"How many cases involving animal cruelty were reported by animal welfare organizations in Singapore, in 2016?",831,0
1031852.pdf,how many consumers were impacted by the court case with FirstEnergy?,two million,4
1031852.pdf,"What is the nameplate generating capacity of IKEC’s Clifty Creek Plant at Madison, Indiana?","1,303,560 kilowatts",14
1183777.pdf,What are the nine members of the Washington Student Achievement Council that the Washington Legislature appointed in 2012?,"The Council consists of nine members:  five citizens, including one college student, and four members  representing the Superintendent of Public Instruction, the State Board of Community and Technical  Colleges, the Council of Presidents of the public four-year institutions, and the Independent Colleges  of Washington.",1
1183777.pdf,"Compared to 1986, what was the growth percentage of the Hispanic high-school age population by the end of 2010?",492%,3
1183777.pdf,"How has the enrollment of full-time equivalent students in Washington's community and technical colleges changed over time, particularly with respect to e-Learning?","Washington’s community and technical college  fall quarter online enrollment grew from 373 FTE students in 1998 to 20,025 FTE students in 2011,  and e-Learning now accounts for 31,684 FTE students in the CTC system.    The availability of e-Learning to provide education to people who live in  remote areas, distant from a college, and to working adults also is widely  recognized.",11
1323986.pdf,"According to the 2021/22 forecast, from the National Agricultural Statistics Service (NASS), how much amount of corn production was collected? ",175 million bushels,0
1323986.pdf,"With its unaltered export prediction for 2020–2021 at an all-time high, the United States will account for about what percentage of the world’s corn trade?",40 percent,0
1323986.pdf,How many bushels of corn are estimated to be exported from the U.S. in the year 2020-21?,"2,850 million bushels",4
1180635.pdf,What services are covered under the FUNCTIONAL PLAN 2020–2040 of the REDMOND POLICE DEPARTMENT for traditional law enforcement? ,"•	Patrol Response - the ability to quickly  and effectively respond to emergency  calls for service  •	Traffic Safety - enforcement, education,  and traffic engineering  •	Investigations – of criminal matters  •	Communications – receiving and  dispatching information  •	Records Management",6
1179117.pdf,What is the actual average risk of breast cancer in women?,13%,8
1179117.pdf,"Who approved the research ""Simple Messages Help Set the Record Straight about Scientific Agreement on Human-Caused Climate Change: The Results of Two Experiments"" ? ",reviewed and approved by the Institutional Research Board,3
1179117.pdf,"n 2013, what percentage of American adults believed that ""most scientists think global warming is happening""?",42%,1
1204831.pdf,How many countries have signed the Paris Climate Agreement?,197 countries,9
1204831.pdf,Why does the cost of electricity have such a large impact on economic activity?,Electricity is a core input to industry productivity  and household consumption,13
1038973.pdf,"On which date did the Governor announce that public and private schools in Massachusetts must remain closed for in-person instruction until Monday, May 4 in order to prevent further spread of the coronavirus (COVID-19)?",March 25,0
1166908.pdf,In what year did Cambridge receive a State MVP grant?,2019,52
1166908.pdf,What is the projected increase in the average summer temperature of Cambridge by 2070?,6 to 10 degrees,10
1038218.pdf,During which period did the national debt of the US double from 35 percent of GDP to over 70 percent due to the Great Recession?,between 2008 and 2013,0
1038218.pdf,"In June 2018, how much U.S. debt was held by foreign investors?",about $6.2 trillion,2
1038218.pdf,"How much is the U.S. projected to spend on interest for the debt in 2018, and what percentage of the federal budget does this represent?","$316 billion, or almost 8  percent of the federal budget",1
1321440.pdf,When was the Waste Local Law 2020 adopted by the City of Cockburn council?,13 February 2020,6
1029321.pdf,What activity is correlated with parents having better relationships with their children and being more engaged in their children’s education?,religious services,0
1029321.pdf,What kind of couple are more likely to bear a child out of wedlock?,those who are “not at all religious”,3
1158777.pdf,How much income was generated from agricultural exports in the US during the first four months of 2021?,$59  billion,0
1158777.pdf,How many full time jobs were supported by U.S agricultural exports in 2019?,1.1 million,0
1158777.pdf,"What was the overall revenue contributed by agriculture, food, and related industries to the U.S. economy, in 2019? ",$1.109 trillion,0
1313588.pdf,What was the revenue growth rate experienced by Shopify in 2020?,86%,2
1313588.pdf,What was New Jersey's projected revenue decline for budget year 2021?,more than a $5  billion revenue decline,1
1016310.pdf,What was the percentage growth in Federal Information Security incidents from fiscal year 2009 through fiscal year 2015? ,157 percent,11
1016310.pdf,"Which act requires federal agencies in the executive branch to develop, document, and implement an information security program? ",The  Federal Information Security Modernization Act of 2014  (FISMA),7
1388460.pdf,"As of 2020, how many seasonal vacant homes are present in Oscoda County, Michigan?","5,028",13
1388460.pdf,"Which county was considered the second most expensive vacation home county, in 2020?","Dukes County, Massachusetts",13
1388460.pdf,What was the percentage increase in vacation home sales in 2020?,16.4%,2
1259787.pdf,What was the decline in electricity demand in the U.S. from 2010 to 2020?,almost 6 percent,1
1259787.pdf,"What was the percentage increase in electric transmission spending across America over six years, as per the Financial Review of EEI 2019?",42  percent,1
1259787.pdf,How much does the Industrial Energy Consumers of America acquire in annual sales?,$1.1 trillion,4
1066320.pdf,How does the Digital News Report of the Reuters Institute collect information to publish its findings?,a com- bination of online surveys and face-to-face focus groups,7
1066320.pdf,What proportion of total news consumption was estimated to occur through mobile news and social media apps rather than browsers in 2018?,41-56%,0
1066320.pdf,"In 2017, what percentage of US adults accessed news on a mobile device at least once?",85%,1
1396830.pdf,"In April 2021, what was the unemployment rate in the Treasure Coast Region?",4.8 percent,10
1396830.pdf,How many non-agricultural jobs were added in the Treasure Coast Region from April 2020 to April 2021?,"98,300",10
1396830.pdf,"What was the percentage of unemployment in the Treasure Coast Region, Florida in 2020?",14.5 percent,10
1317209.pdf,What does 2004 Family Code of Mozambique’s Constitution guarantee?,"equality in property and  family law, including sharing of assets within marriage",2
1317209.pdf,Who was Senior Research Manager of Gallup Pakistan in 2019?,Mohsina Ahmed,0
1317209.pdf,What ratio of girls in sub-Saharan Africa completed primary school by 2011?,two-thirds,1
1331183.pdf,Why do road traffic injuries receive less media attention?,"First, it is because the  number of fatalities and injuries in each road crash is usually low and second, they  occur so frequently that they are not newsworthy.",0
1331183.pdf,What is the relation of VSL and VSI with GDP per capita?,the relationships VSL = 70 x (GDP per capita) and VSI = 17 x (GDP per  capita),2
1331183.pdf,"From 2021-2030, what estimated percentage of the overall GDP is Malaysia predicted to invest annually in road infrastructure improvement?",0.1% of GDP,1
1192656.pdf,What are the five key value indicators of J&J?,"Quality,  compliance and effectiveness, ii) Financial performance and total cost, iii) Innovation, iv) Supplier satisfaction,  v) customer satisfaction",10
1192656.pdf,What year did GSK start incorporating a non-linear mixed integer programming model?,2009,10
1326681.pdf,How many countries participated in the inaugural World Hepatitis Summit of 2015?,84,11
1326681.pdf,When did WHO launched a new Injection Safety Programme?,February 2015,9
1326681.pdf,"What is the rank of hepatitis as a cause of death globally, and how many deaths does it cause annually?","seventh leading cause of  death globally, accounting for 1.4 million deaths  per year",4
1262031.pdf,What causes higher volatility in the financial markets of Italy?,An intensification of geopolitical tensions or greater  uncertainty surrounding the future course of international economic policies,4
1262031.pdf,How much was the stock of bad loans in Italy at November 2015?,88.8 bln €,2
1262031.pdf,What was the percentage increase in Italian GDP by the conclusion of 2014?,0.4 per cent,0
1026220.pdf,Which countries are included in BRIC?,"Brazil, Russia, India and  China",1
1026220.pdf,What are the four basic factors that are used to compare different companies?,"innovation, customer experience, quality  and cost",3
1026220.pdf,How much higher was the average annual sales growth of BICCs in 2015 compared to other companies in their respective industries?,approximately 50% higher,2
1086222.pdf,What is the only way to degrade fibre?,anaerobic bacteria in the large intestine,13
1086222.pdf,What is the recommended exercise routine for people belonging to age group 18 to 65?,at least 30  minutes of moderate intensity cardiovascular exercise five days a week,15
1384475.pdf,What is Union Church of Pocantico Hills known for?,rich worship services and music program,0
1384475.pdf,"In 2021, how much was the Union Church of Pocantico Hills given from Paycheck Protection Program?","$40,250",6
1384475.pdf,How old is the Union Church of Pocantico Hills?,100-year-old,0
1086404.pdf,What is an average score in the SUS questionnaire?,68,88
1086404.pdf,Where is the Nursing Home Griesfeld located?,Egna (Italy),26
1086404.pdf,"Which department is responsible for the full psychiatric care of the regions Innsbruck-Land and Schwaz as well as supraregional for the areas geriatric psychiatric, Forensic and Social Psychiatry?",Department of Psychiatry and Psychotherapy A at the Regional Hospital Hall in Tyrol,24
1391979.pdf,"In 2016, what was the federal poverty threshold for a family of four?","$24,230",33
1391979.pdf,How many King County residents died by firearms from 2012 to 2016?,747,3
1391979.pdf,What was the baseline rate of firearm homicides in King County in 2016?,2000 rates,3
1161168.pdf,What is the contribution of damaged peatlands towards anthropogenic carbon dioxide emissions?,5.6%,20
1161168.pdf,What was the global average atmospheric carbon dioxide concentration in 2019?,409.8 ppm,7
1286502.pdf,What was the net loss of Alithya for FY21?,$17.3 million,17
1286502.pdf,"For the year ending March 31, 2021, what would be the consolidated percentage increase for Alithiya Group Inc?",7.7%,8
1286502.pdf,"How much did Alithya Group see in revenue for the three months ending March 31, 2021?",$78.0 million,10
1170211.pdf,"What was the estimated cost of damages incurred by the hailstorm of May 8, 2017 in Denver?",$2.3 billion,1
1170211.pdf,In what channel is the Dredge Carolina cutterhead lowered?,Freeport Harbor  Channel,0
1170211.pdf,"In 2001, what percentage of strokes were caused by brain clots?",80  percent,0
1098458.pdf,What was the annual natural gas consumption of the residential sector in Northbrook in 2018?,21 million therms,44
1098458.pdf,"In 2021, what will be in the final product of the Climate Action Plan?",a  document and implementation matrix with detailed actions organized by strategy,26
1098458.pdf,What was the most common method of travel for workers in Northbrook in 2017?,Drove Alone,58
1012538.pdf,When was AGMAN founded?,2013,1
1012538.pdf,How many diabetes patients are projected worldwide by the 2030s?,552 million,5
1035714.pdf,"Between June and August 2020, what was the total retail electricity sales across all sectors in the USA? ","1,055 billion kWh",1
1035714.pdf,How much has NYISO been able to reduce emissions and cut carbon emissions? ,52%,2
1035714.pdf,"In the residential sector of the U.S., what was the decline rate for energy consumption between 2019 and 2020?",4%,1
1114199.pdf,What is the biggest impact on happiness? ,quality of social support,6
1114199.pdf,"In 2000, what percentage of the world's population were Europeans?",12%,7
1390525.pdf,What was the GDP growth target of China for 2021?,above 6%,10
1390525.pdf,What was the fine for false advertisement for China-based companies?,"50,000 RMB (appr. 7,750 USD)",12
1390525.pdf,"During the covid period, what were the major disruptions in rural areas and healthcare that negatively impacted company earnings in India?",premature end of lockdowns in an ill-prepared system,3
1201891.pdf,Why did the Avianca Brasil airline cease its operations?,financial insolvency,21
1201891.pdf,Why do major Brazilian airlines keep spare aircrafts readily available?,cover contingency situations  during the day. The main reason is due to the costs related to customer compensations and  regulations in the country,32
1381956.pdf,Which country has the largest emitter?,Iran,4
1381956.pdf,Which African country ranks for having the fourth largest non-G20 emitter of fossil CO2?,Morocco,2
1381956.pdf,"As of May 2019, what was the capacity of installed renewable energy in Iran?",720 MW,4
1364267.pdf,"By 2030, what is the European Union's target for the consumption of energy produced from renewable resources?",27%,3
1364267.pdf,What is the goal of the CARISMA project?,to understand costs and benefits as well as economy-wide implications of the introduction or expansion of climate change mitigation technologies (CCMT) in the European Union,2
1230070.pdf,What does the Australian Went Worth group do?,provide workable solutions to the key Australian environmental  issues of land and water management,2
1230070.pdf,What are the goals of Tarkine National Coalition (TNC)?,to  protect the natural environment of the Northwest of Tasmania and the Tarkine,3
1150801.pdf,  What year has introduced a ban for oil in heating by Flemish government?,2021,13
1150801.pdf,"Instead of a heat pump for a water-based heating system, what is the other renewable alternative for nations with limited heating demand?",air-air heat pumps combined with solar thermal for hot water,9
1268832.pdf,What is an important step to strengthen multiyear fiscal discipline and ensure debt sustainability?,Responsibility and Debt Management Act (FRDMA),17
1268832.pdf,What are the requirements in Banking Law that are insufficient in some areas?,a bank is only required to take reasonable efforts to identify the  individual on whose behalf a customer is acting,20
1268832.pdf,"In FY20, what was the estimated decline rate in the GDP of Marshall Islands?",3.3 percent,2
1109169.pdf,What is the most important factor for millennials in choosing a holiday destination?,‘Instagrammability’,7
1109169.pdf,What are the reasons why older millennials spend the most on vacations compared to other generations?,This generation is currently entering in their peak  earning years and earning more affluence at unprecedented rates,11
1109169.pdf,"In 2016, which nations had the fastest growth as luxury destinations?",Kenya and Iceland,8
1267098.pdf,What can be done to limit the impact of climate change?,reductions in greenhouse gas (GHG) emissions,14
1267098.pdf,Why is low-carbon energy advantageous?,they can be formulated as a ‘drop in’ fuel and used in existing equipment with  little modification,31
1267098.pdf,What is the largest energy source of the Pacific Northwest?,hydropower,78
1201175.pdf,"How many COVID-19 cases were reported in Nevada on July 6, 2020?","22,909",3
1201175.pdf,Which diseases rank as leading causes of death in Nevada?,chronic diseases,0
1201175.pdf,What proportion of Nevada's population was Hispanic in 2017?,29.0%,0
1373468.pdf,"{""text"":[""What does the battery system consist of?"",""What does the battery system consist of?""]}","battery pack, the temperature control and the battery  management system",10
1373468.pdf,What are the most advanced lithium-based batteries on the market?,Lithium Sulfur (Li-S)     Lithium all solid state (ASS)     Lithium air (Li-Air)  NMC622 and NMC811,9
1373468.pdf,"Instead of lead-based batteries, what are the other alternative options suggested by EUROBAT?","nickel-based, lithi- um-based and sodium-based batteries",7
1338399.pdf,Which three members of IORA are projected to experience significant growth by the year 2030?,"India, Indonesia and Australia",3
1132524.pdf,What is the total length of the Mountain Valley Pipeline in the US?,303 miles,1
1132524.pdf,What is the projected climate impact of the Mountain Valley Pipeline?,"equivalent to about 23 typical coal plants, or more  than 19 million passenger vehicles",1
1067991.pdf,How many electric vehicles were registered in the TJPDC region in 2020?,509,7
1067991.pdf,What type of vehicle model is more expensive if purchased new?,electric vehicle models,19
1067991.pdf,When is the effective date for the implementation of the $88 highway user fee on fuel-efficient 4 and electric vehicles in Virginia?,"July 1, 2022",20
1159175.pdf,How long is the warranty if the registration for the Daikin Comfort Pro is completed within 60 days of installation?,12-Year,1
1159175.pdf,What type of compressor does the Daikin Heat Pump have compared to other units?,two-speed scroll compressor design  that has fewer moving parts and results  in lower energy use compared to units with  reciprocating compressors,3
1159175.pdf,What feature does Daikin have that keeps the system quieter as it switches into defrost mode?,specialized  time delay defrost technology,3
1399720.pdf,What percentage of people in the Philippines believe that immigrants have a positive impact on the country?,45%,6
1399720.pdf,How many countries are involved in the YouGov survey on December 2016?,19 countries,5
1399720.pdf,"Which country, overall, holds the strongest belief that globalization is a beneficial force?",Vietnam,6
1342176.pdf,What are the causes of the increased risks of doing business in the Russian Federation?,conflict in Ukraine and related events,11
1342176.pdf,What is the taxation system of the Russian Federation characterized by?,"frequent  changes in legislation, official pronouncements and court decisions, which are sometimes contradictory  and subject to varying interpretation by different tax authorities",49
1164246.pdf,What was the initial origin of what eventually became known as the Internet?,ARPANET,4
1164246.pdf,Which country has the largest tech companies in the world?,America,37
1164246.pdf,What are the four key principles for an AI to be called trustworthy?,"respect for human autonomy, the prevention of harm, fairness,  and explicability",55
1255446.pdf,What is it called when we are including some game elements in a non-game activity to make it more lively?,Gamiﬁcation,0
1255446.pdf,What are the two most common sets of wrist physiotherapy exercises?,(1) extension and ﬂexion and (2) ulnar and radial deviations,2
1010876.pdf,What percentage do PIK/Toggle and deferred interest bonds represent during the years 2006 to 2007?,10%,1
1010876.pdf,What is the approximate default rate for energy issuers?,20%,1
1139035.pdf,Where was the Blackstone Research GmbH established?,Saxony (Germany),3
1139035.pdf,Who is the Blackstone's Board group's president?,Ulrich Ernst,16
1139035.pdf,When was Blackstone Resources AG established?,1995,3
1374729.pdf,What is the main objective of the Support Vector Machine?,"to ﬁnd the optimal hyperplane and thereby maximizing the margin, which is the gap between support vectors and hy- perplanes",26
1374729.pdf,What table is used to describe the performance of a classification model on a set of test data?,confusion matrix,29
1374729.pdf,What kind of machines usually apply to regression and classification problems?,Support Vector Machines,26
1292903.pdf,"{""text"":[""What does Lorraine Wardy love partnering her new purse with?"",""query not realistic""]}",white linen,0
1000367.pdf,Who acknowledge the limitations of a simplistic view of the economy?,Marshall,2
1000367.pdf,What is the term used for the exploitation of renewable resources?,bioeconomics,2
1000367.pdf,What is Georgescu-Roegen’s view of sustainability of the economic process?,"is not about stabilizing the  ﬂ ows of goods and services produced and consumed in the economy, but about reprodu- cing the fund elements that are associated with the stabilization of the metabolized  ﬂ ows",5
