modality,query,answer,pdf,page
infographic,"According to the Australian government for COVID-19 guidelines, how many seconds to wash your hands with soap and water?",20SEC,2066238,12
infographic,"According to Social Media Users 2018, how many million used Instagram?",800,2155076,10
infographic,What do pension fund trustees typically do?,They regularly review a variety of investment options and have to choose between them.,1268338,25
infographic,At what age should students be screened for dyslexia?,"Age 4, 5, 6",1180235,20
infographic,What does PSPO abbreviation stand for?,Public spaces protection order,1829628,20
infographic,"In test farms programme overview, what date is the demo day that showcase your polished product to the client?",JULY 21' - JULY 22',2288018,27
infographic,How many percent of people will have their first experience of mental illness when they are below the age of 25 years?,75%,2174297,2
infographic,The European Green deal is preserving and restoring of?,ecosystem and biodiversity,2407297,25
infographic,What is the stage at which eggs develop from L1 and L2 to L3 'infective larvae'?,DUNG,2055686,5
infographic,What are three outcomes of the 2050 environmental vision?,"No poverty, good health and well-being, and gender equality.",1112462,5
infographic,What are the outputs of a plant going through photosynthesis?,Oxygen and sugar,1257851,8
infographic,What is the air pollutant that the volcanoes release after the explosive occur?,Sulfur Dioxide,2390449,3
infographic,"In enhanced waste management & resource efficiency in the world's cities, focused regional training workshop and face-to-face training are part of what?",Data & Monitoring,2207808,6
infographic,"According to the target performance of 5G, what is the peak data rates per second of Gbit?",10,2087880,0
infographic,"There are 2 main system in seed marketing rules, the USA market and?",EUROPE PUBLIC BODIES,2310302,14
infographic,What will be the negative result of a lack of exercise and diet?,Obesity,2152186,17
infographic,How many does the Honda Clarity from 2017Q1 have in operation in the project?,10,2210845,66
infographic,What elements come from the data gap in achieving UNFCCC's carbon neutral peace and defense?,COMPULSORY FULL Military/ Defence Industry GHG Emission Reporting to IPCC/ UNFCCC,1024589,5
infographic,"In integrating urban and public transport planning, the accessibility to job services and managing parking supply and charges is part of what plan?",Transport system & infrastructure,2248035,2
infographic,"According to Ontario Chicken industry 2011 Strategic plan summary, what do you call the period where there is architecting structures to hold up strategy going forward?
",Transition Period,2168900,9
infographic,"In the antigen presentation pathways, what do you call to the infection where it affects the respiratory tract system of human body due to bacterial components?",Bronchiectasis,2026170,8
infographic,List out the steps in data publishing workflow.,"Capture the data, select a tool, prepare the data, publish the data, and register the data. ",1314235,43
infographic,What kind of analysis does the nipu Artificial Intelligence used?,Predictive Analysis,2313247,22
infographic,"In Hope goal, how many percentage of people live in neighborhoods with a low poverty concentration?",100%,2222024,75
infographic,"How many gram of uranium oxide pellet is equivalent 1 ton of coal, 454 litres of and 481 thousand litres of natural gas?",10,2323301,4
infographic,"From the Extractive Economy to Regenerative Economy the rules must change from international, national and?",local,2328695,6
infographic,What are the two types of international networks and remittance services does provide?,Non-US FIs and MTOs.,1079847,13
infographic,"In the Possible indicator framework structure, the GHG emissions and air pollution are under what category?",Environmental sustainability,2155785,142
infographic,"In sustainable development goals, what is the 13th listed on the illustration?",CLIMATE ACTION,2323377,41
infographic,What cell in the skin's epidermis produce melanin?,Melanocytes,2376572,0
infographic,What do you call the unit of organism that help create a human body?,CELLS,2248028,6
infographic,"Who identified 3 main forms of communication such as cumulative, disputative and exploratory talk where learners are able to create ideas from themselves?",Neil Mercer,2125717,7
infographic,"In innovation feedbacks, what is the second step after the diffusion?",Market Formation,2248160,8
infographic,"For the clearances in tree hazards, what is the maximum foot height and maturity of Wire Zone?",10ft,2380176,23
infographic,"In permitting a project, what do you call to a person who is responsible for construction permits and interacts with Code Officials?",CONTRACTOR,2335959,46
infographic,What does PLO 2 aim to do?,"Critically situate themselves and analyze their creative practices, in historical and contemporary cultural contexts, to explore questions that are meaningful to society. ",1208142,24
infographic,What are the health issues and diseases that cortisol contributes to?,"Weakened immune system, heart disease, high blood pressure, high blood sugar, digestive issues, nerve problems, anxiety depression headaches",1016869,8
infographic,"According to America's Plastic Makers, how much money should be invested in the next 5 years to improve the recycling system?",$17 billion,1358738,23
infographic,What kind of Enterprise Linux Platform does the JBoss used for backend?,Red Hat Enterprise Linux,2136870,3
infographic,What do you call the form used to open an account when registering?,registration form,2136793,8
infographic,"What do you call to an act that provides a widely available, highly reliable, and comparably affordable supply of electricity?",Service,2146296,81
infographic,What type of diseases are implantable medical devices designed for?,Chronic diseases,1075560,45
infographic,"In what size of Winding A is used for contact printing, sound record and A-MINIMA cameras?",16 mm,2400614,12
infographic,"In prevention of CyanoHAB,  physical or chemical strategies that reduce the likelihood of?",bloom development,2404514,0
infographic,"What are the services, diagnostics, and advice stemming from the Community?","Acute inpatient services, acute specialist advice, planned inpatient services, planned specialist advice, specialist diagnostics, and tertiary and quarternay services",1055371,77
infographic,What is emphasized when it comes to through-put oriented streets?,"It emphasizes the efficient movement of people at greater distances, often at higher speeds. ",1386502,31
infographic,How loud in dBA is a rock band?,110,1191805,3
infographic,What are the five key components for building partnerships in the watershed planning and implementation process?,"Identify key stakeholders, identify issues of concern, set preliminary goals, develop indicators, and conduct public outreach. ",1418118,4
infographic,"In compliance process flow, what is the step before the screen magnifier testing?",Automated testing,2228051,53
infographic,What are humanized biomarkers for?,AKI detection.,1426362,11
infographic,"In scope 1, what does in-boundary waste & wastewater lead to? ",Out-of-boundary waste & wastewater.,1378314,10
infographic,What occurred before 2005 for IoT networks?,"Prior to 2005, the IoT networks were closed and centralized. ",1021846,42
infographic,"When working on the settings, what is the next step after setting up the input mode?",Change UDX Type to 2TEL COMPACT,1079763,16
infographic,"In KOK Play, where does the query go after a content creator uploads their content?",KOK Network Platform,1063619,29
infographic,Why should someone choose dasharo?,"Dasharo does not compromise the needs of clients with the capabilities of popular BIOS firmware. You can make your platform stand out by building your own solution. You can also enhance the maintenance, security, performance, and marketing potential of your platform.",1317460,1
infographic,Which is least effective among the hierarchy of controls?,PPE,1043275,6
infographic,"What do you call the active ingredient that is stable, preservative free and single use vial?",Nyxol,2081901,7
infographic,How much partners make up 25M for the updated risk level based on performance index?,25 partners.,1116644,40
infographic,What are the environmental goals of sustainable development?,"Affordable clean energy, climate action, life below water, and life on land. ",1082362,5
infographic,What does HomeLife council training entail?,The property manager keeps council members informed about their responsibilities at all times.,1354802,23
infographic,What does the foundation of trauma-informed primary care consist of?,"Trauma-informed values, robust partnerships, clinic champions, support for providers, and ongoing monitoring and evaluation.",1021748,24
infographic,"According to the Ministry of Health and Family Welfare of India on COVID-19 Vaccines for Pregnant Women, how many days will you feel ill after receiving the COVID-19 vaccine?",1-3 days,1758230,3
infographic,How many customers are served by Your water company in East England and Hartlepool?,7 million,2065236,1
infographic,What are the recommended actions if my tire warning light comes on?,"Replace tire, check tire pressure, check wheel alignment.",1420915,6
infographic,How do Black individuals COVID-19 related deaths compared to White individuals COVID-19 related deaths?,Black people are dying from COVID-19 at a rate 2.4 times higher than White people.,1028096,29
infographic,What kind of DFES does MWe represent as the base unit?,Electricity DFES,2230864,19
infographic,"Base on Our public transport vision, what are the given sample of Infrastructure Access?",Toll Roads/Car Parks,2248035,5
infographic,What is the first step in which SV40 particles interact with the ER-associated degradation machinery and proteasome during infection?,"SV40 Encounters the ER. The virus particle binds to ER proteins, triggering partial disassembly of its structure.",1221775,4
infographic,What is the reduction in the chance of COVID-19 transmission with 1m or more distancing?,2.60%,1000360,3
infographic,What is the process for turning grain into alcohol?,"The grain is first steeped, then undergoes an initial grind followed by a hydro-cyclone process. It is then ground a second time, separated, liquefied, fermented, and finally distilled to produce alcohol.",1540561,15
infographic,"According to the Three Models of Crowdfunding, what do you call the model where investors get an interest in the earnings?",Equity Model,1722512,45
infographic,What process involves a soil organic matter and then make a contact with the liquid substance?,Leaching,2262231,1
infographic,What kind of employees are working in the Toronto Catholic District School Board?,Inspiring and motivating employees,1738646,1
infographic,What is the next step after Nucleation?,Elongation,1196393,14
infographic,How far away from the high tide line should a sea turtle hatchery be to avoid flooding?,20 to 30m,2257670,8
infographic,"If a child is in the yellow zone of emotional regulation, what can I expect?","The child could be frustrated, worried, silly/wiggly, excited, or at loss of some control. ",1583388,19
infographic,Do I need to renovate my house before selling?,Ask your agent. Some buyers are willing to overlook cosmetic or minor repair needs if it means snagging a home in their price range.,1119977,11
infographic,"According to the USDA (United States Department of Agriculture),  what age of a child can have solid foods in the Updated Child and Adult Care Food Program Meal Patterns: Infants Meals?",6 months,1746602,38
infographic,How many offices does BDO Global have?,"1,658 offices. ",1147574,17
infographic,What kind of communication did the Autonomous Machines use?,Wireless Communication,2251524,0
infographic,What is the voltage of the main battery sent to the IoT device?,3 V,2409286,2
infographic,How many cities will be chosen for the first phase funding in 2015-2016?,20 out of 100 cities,1674066,12
infographic,How many UK jobs are supported as per the Portsmouth International Port Economic impact 2019?,"5,590",2231857,2
infographic,"In 2-3 years time, what will be concluded for the Feasibility portion of the new mining project?","Engineering, Cost estimates, Optimization, Environment baselining, and Retrieve calculations. ",1703299,2
infographic,"During 2003 of CT DEEP Tanks Program, what systems need to have a continuous 360° interstitial space?",double-walled UST system,2399707,24
infographic,What should I avoid to prevent Covid-19?,"Avoid touching your face, eyes and nose.
Avoid touching dirty surfaces.
Avoid large crowds, gatherings or crowded areas.
Avoid public transport, workplaces and public spaces if you are ill. ",1188080,25
infographic,"What is happening February 17, 2012 at the DuPage Children's Museum? ",NCHS Theatre Central Children's Play (Do You Believe In Magic?) and Paper Tower Engineering at 5:00-7:00 PM.,1033210,16
infographic,What are the mayor's responsibilities and abilities?,The mayor's political capital influences the legislative agenda. The mayor has the ability to veto legislation from the DC City Council. The mayor appoints the Director of DOEE and DCPSC Commissioners with advice and consent from DC City Council.,1019364,17
infographic,Are there any nutrients in turkey?,Vitamin B,2214005,2
infographic,What are the key principles for future new towns and districts?,"Smart principles, Green principles, and Resilient principles.",1617802,16
infographic,What are the actions that fall in both categories of mitigation and adaptation?,"Climate 'proofing', education/awareness behavioral change, water conservation, locally sourced food, and green infrastructure. ",1059801,71
infographic,What are the three conditions of the Strong Evidence Rule?,"The premises are presented as evidence the claim is true. The premises are reasonable true, relevant, unbiased, and complete. There is no credible dissent. ",1002697,17
infographic,"In the TSP learn, what kind of route where the government pay 95% cost of Apprenticeship training?",Co-Investment Funding Route,2077674,0
infographic,"Based on The Global Risk Outlook for 2019, what was one of the issues that was considered a global risk in terms of Impact? ",Water crises,1777901,98
infographic,Where does threats appear with new technology?,"Threats to information, systems, infrastructures on which institutions rely.  ",1226458,5
infographic,What should I not do to protect myself from heat exposure?,"Do not wait until you are thirsty to drink water, do not drink alcohol, and avoid caffeine.",1650648,53
infographic,What does filtration remove in the Bull Run Treatment project?,Cryptosporidium and other potential contaminants.,1633899,11
infographic,"In the Pursue University Integrations, what kind of institution has only one certified entity with branch campuses?",Single Institution,2029694,206
infographic,What percentage of children are repeatedly not present at school?,13.50%,2279695,10
infographic,"How dangerous is heroin, if already addicted to cocaine?",People with a cocaine addiction is 15 times more likely to be addicted to heroin.,1064553,0
infographic,What equipment is required on your boat to protect swimmers in the area from any electrical leaks?,Equipment Leakage Circuit Interrupters (ELCI),2403632,23
infographic,"According to the City of Oxnard's Quality of Life Strategy, how many Neighborhood Watch programs will have started based on Goal 3 Performance Measures in FY 2016-2017?",2,1772878,358
infographic,What do windmills contribute in creating resilient communities?,Promote alternative energy systems.,1689899,24
infographic,What if I have a piercing on one side of my nose while doing the Rapid Covid-19 Self test?,Swab the nostril on the other side.,1702410,26
infographic,"According to The Generations of Web Marketing Today, how many donor Boomers are located in the U.S.?",51.0 million,1771121,4
infographic,What is the 1/3rd of aviation's total climate impact made of based on the Transport & Environment?,CO2,2029469,17
infographic,What do you call to the medical condition where it can appears when you have too much potassium stored in the body?,Hyperkalemia,2132659,238
infographic,"In the Endocannabinoid System, what type of human cannabinoid receptors are located in peripheral organs?",CB2,1760931,68
infographic,In what bible verse where Jesus restore Lazarus to life?,John 11: 1-45,2275559,24
infographic,What are the stakeholder outcomes?,"Heathrow Airlines provides efficient, reliable and affordable airport services. Heathrow delivers to investors predictable and fair returns. Heathrow is a great place to work for colleagues. Heathrow is committed to sustainable airport growth. ",1090313,8
infographic,"Based on the Swiss Cheese Model for Protecting Against COVID-19, what do you wear when you are in a public indoor room?",mask,1759675,1
infographic,What solution went through the desalination process using the Reverse Osmosis (R.O.) pump?,Diluted Solution,2241995,27
infographic,How many people chat with friends while they play games?,67% of people chat with people they are friends with/know outside the game.,1073663,23
infographic,How much annual income is needed to afford an average three-bedroom rent in RI?,"$60,880",1031214,3
infographic,What is the required temperature for the storage of the BBV152/Covaxin according to Bharat Biotech?,+2-8°C,1832877,62
infographic,"Based on the Legal Consumer Fireworks of Washington State, what is the maximum grams of pyrotechnic composition per item of Dipped Stick, Sparkler is acceptable?",100 grams,2297859,13
infographic,"According to the Nature-based sector - Scotland's green economic powerhouse, how many jobs are in the nature-based sector in 2019?","195,000",2062577,11
infographic,How many DNA matches do Johanna Persdotter and Elna Persdotter have combined?,Johanna and Elna Persdotter have 9 total DNA matches.,1349290,11
infographic,What is the earliest advancements for carbon reduction in energy?,Wind energy Germany factory.,1569053,14
infographic,What is the final form of Phase infection?,Degraded DNA/RNA.,1307550,55
infographic,"Based on the Civil Registration, Vital Statistics, and Identity Management System, what is the name of the database (DB) that the Population Register stored?",PR DB,1750621,8
infographic,"In Early Feelings & Behaviors, what do you call the lack of confidence about who they are and what they can do?",Low self-esteem,2125513,11
infographic,What are the different types of mesenchymal stem cells?,"Cartilage, Fibroblasts (Tendon & Ligaments), Stromal Cell, Osteocytes, Fibroblasts (skin), Astrocytes, Adipocytes, and Myocytes. ",1389619,2
infographic,"According to Figure 4- STiR's scaling journey, who did STiR work with when they tried to pilot a public primary school?",Delhi Municipal Gov't,1745005,19
infographic,What is the next step after fermentation?,Filtration.,1401421,4
infographic,"In the Scope for Policy Alignment  in Government, what kind of plan is in the Local area?",Integrated Development Plan (IDP),2234793,15
infographic,"Based on the Local Road Safety Plans: Your Map to Safer Roadways, what percentage of Americans live in rural areas in 2017?",19%,2020425,629
infographic,What team will prioritize your complaint about the principal of a school?,Central Office Complaints Team,1812982,7
infographic,"Among the five elements of the Safe System Approach, what element involved forensic investigation at the crash site?",Post-Crash Care,2309243,9
infographic,When did the 2.0 industrial revolution take place and what defined this period in terms of production?,The 2.0 industrial revolution took place in the 1870s. This period was defined by electrically powered mass production.,1319738,16
infographic,"According to the COVID-19: Social Distancing in Public and Trails rules, what kind of guidance do you need to follow before going to a park?",CDS's guidance,2077790,3
infographic,"If I implemented the redcap software to the KCHSI, what can I expect?","Online secure system, real-time data entry, no double entry, captures more data, and less time consuming with no extra costs. ",1564289,0
infographic,What kind of injection is used in the TALEN and CRISPR/Cas delivery into vitro Zygote?,mRNA injection,2037338,108
infographic,"Based on the Prevalence of Vaping among Youth in the US in 2019, how many students reported they used a every day?",1.6 million,2210778,8
infographic,How many construction workers will suffer from a serous eye injury during their career at MINTRA GROUP?,50%,1693850,12
infographic,"Based on How God Works in the World, who was granted by God to talk to the King?",Esther,1726012,0
infographic,From what age to what age is the black population in Canada considered children and youth?,Ages 0-29 are considered children and youth.,1554828,2
infographic,What systems boost funds for sewer hookup?,Onsite Sewage Systems,2317530,86
infographic,What are the blockchain experiments performed by the government?,"Georgia: National Agency of Public Registry, and Estonia: e-residency program. ",1127925,17
infographic,How does the risk of death in a car accident increase for drivers who are 16 or 17 years old?,when there are young passengers in the vehicle,2234294,16
infographic,What are things I should avoid that increases long-term stress?,"Overconsuming sugar, caffeine, and alcohol.",1093596,0
infographic,Which operating system should Schoolmontana support?,JUNOS,1284408,8
infographic,"Based on the Climate of Performance Attitudes & Behaviours, who creates all the decisions?",Adults,2034985,4
infographic,What is the execution principle that revolves around investment?,"Invest in use cases, not technologies. ",1617802,36
infographic,What are the skills in demand for blockchain employees?,"Applied Game Theory, Labor Market Data, Network Externalities, Schelling-Point Coordination, Applied Behavioral Science, Institutional Cryptoeconomics, User Experience Design.",1127925,26
infographic,"In the gradcracker, what skill has the competency question that needs to tell if you had the experience to lead a team of people to achieve a goal?",Leadership,1845814,2
infographic,What is the purpose of the water treatment system?,Reduce water pollution and treat wastewater from cities of Kafue and Mazabuka.,1027721,16
infographic,Where is the water harvesting for the Blue-green infrastructure?,Retention lake,1617802,10
infographic,What can grass be used for?,"Grass can be converted into briquettes for cooking, used as thatch for roofing, essential oil and craft production for market, and livestock feed, ground mulch and soil reconditioning. ",1103367,24
infographic,What is the purpose of the coordinating center?,"Data entry, 24/7 physician access, safety management, screening, and eConsent. ",1275957,7
infographic,"Based in the New Normal of Safe Dining, where the person only needs to sit?",unmarked seats,1850314,5
infographic,How can we maintain effectiveness in IEC 61511?,"Training, Inspections & Proof Tests, Repairing Spare Parts, and Registration. ",1313041,7
infographic,What is connected to the protein CD47?,Active macrophages,1392116,4
infographic,When does the Cyber Core Group take action?,When assessment of the threat situation and protection mechanism is needed. When serious cyber incidents handling needs to be supervised.,1168060,22
infographic,"Even if you are not sure of child abuse, do you still report it?","Yes, if you suspect it, you have a responsibility to report it. ",1435984,7
infographic,What is the total of snakes in Southern Africa considered as not poisonous?,Seventy seven,2078136,0
infographic,What is the required distance for the students with each other based on the Adapt Safe Procedures?,6 feet,2021578,29
infographic,How many servings of sweets can I have when on the DASH diet?,Less than 5 servings of sweets per week.,1328389,17
infographic,What is considered a Class 12 vehicle?,"Six axle, multi trailer vehicles.",1590817,28
infographic,"According to the Nuscale Power Module, what is the process by which heat is transferred from the main coolant through the tube's wall in the steam generator?",Conduction,2031933,10
infographic,How many features of this recycle bin are mentioned in the infographic?,"The infographic shows four new features that include a lid, more space to hold recyclables, an all-in-one container to reduce the need for sorting, and wheels for rolling out the bin.",1315560,14
infographic,What is the purpose of Muskegon County proposing this system?,"To improve livability elements, such as social connection & trust, safety & security, economic opportunity, health, and education. ",1223833,0
infographic,"Based on Mosaic and Acorn profiling and industry analysis of gatherwell, what payment method is most frequently used when playing the lotteries?",Direct Debit,1845210,18
infographic,What is the item associated with WP1A6?,Disease classification.,1426362,4
infographic,What is the difference between level 1 and level 3 wide squats?,The difference between level 1 and 3 wide squats is that level 1 consists of 10 repetitions and level 3 consists of 30 repetitions.,1523335,170
infographic,What is the In-place Mineral Extraction (IPME) environmentally friendly solution that impacts the workers?,It is safer for workers and surrounding communities.,1061941,8
infographic,"Based on the Competency-Based Management, how many competencies are included in the Technical section?",9,2121758,11
