image,query,pdf,page
1416287_image40_1.png,"In CA, what percentage of individuals with a disability chose their case manager?",1416287,40
1416620_image10_1.png,What's the cheapest place on earth to mine nickel?,1416620,10
1416620_image10_1.png,Is Koniambo the most expensive place to mine nickel?,1416620,10
1416620_image4_1.png,What is the highest percentage of Metallurgical Corporation of China when it comes to pre-loan repayment? ,1416620,4
1416620_image4_1.png,Does JV interest increase from the pre-loan repayment phase to the post-loan repayment phase?,1416620,4
1462934_image2_3.png,In what year did the number of airline passengers for both domestic and international travel decline significantly?,1462934,2
1462934_image2_3.png,Is Covid-19 the reason for a decline in total airline passengers?,1462934,2
1468459_image9_5.jpeg,"How much solar power was generated in Germany on September 29th, 2020?",1468459,9
1468459_image9_5.jpeg,"In Germany, what was the cost of wind power generated on October 1st, 2020?",1468459,9
1476536_image5_1.png,Which facility type administered more Covid vaccine doses? ,1476536,5
1476536_image5_1.png,What type of vaccine was administered the most? ,1476536,5
1495736_image28_1.jpeg,What contributed to the increase in net assets for the City of Cleveland's business-type activities?,1495736,28
1496713_image177_2.jpeg,Do people believe American forces in Iraq reduced the amount of violent incidents happening there? ,1496713,177
1500797_image8_1.jpeg,What method of transportation has the highest mortality rate?,1500797,8
1500797_image8_1.jpeg,What mode of travel has the lowest death rate?,1500797,8
1500961_image16_2.png,What is believed to be the most significant barrier to having a smoke-free policy on the proprety?,1500961,16
1500961_image16_2.png,What is the least significant barrier to smoke-free policies?,1500961,16
1501569_image10_1.png,Were there more EDGAR v5.0 anthropogenic emissions in Northern Europe or Western Europe? ,1501569,10
1507398_image15_1.png,Is the memory skill of word list recall higher in children that take extra music lessons or those that don't?,1507398,15
1507398_image15_1.png,What aspect of a child's memory can improve with extra music lessons?,1507398,15
1507643_image12_3.png,Was DPT vaccinations in India covered more during pre-covid or post?,1507643,12
1507643_image12_3.png,what happened to the maternal and child healthcare once covid took place in india?,1507643,12
1507643_image3_2.jpeg,"Between Ethiopia and India, which one has a higher child mortality percentage? ",1507643,3
1508179_image8_4.png,What was the highest Goldman Sachs stock price target between 2018 and 2019?,1508179,8
1515108_image16_2.png,What government is thought  by the most people to have much more to do to address climate change? ,1515108,16
1515108_image20_2.png,What country has the highest percentage of citizens participating in a citizen's campaign?,1515108,20
1515108_image20_2.png,Where would people be the least likely to participate in actions for climate change? ,1515108,20
1515108_image7_2.png,Where do people think climate change is happening the most?,1515108,7
1515108_image7_2.png,Where do people think climate change is happening the least? ,1515108,7
1519813_image211_1.png,Which state had the highest electricity price in 2018?,1519813,211
1519813_image211_1.png,What state had the lowest average price of electricity in the industrial sector 2018?,1519813,211
1546950_image6_2.png,Was there a correlation between the unemployment rate and stimulus checks? ,1546950,6
1547364_image11_3.jpeg,What year had the best satisfaction for mobile AR in games? ,1547364,11
1547364_image11_3.jpeg,Which year of mobile AR was at its lowest rating of neither satisfied or dissatisfied?,1547364,11
1547364_image17_3.png,What kind of mobile AR experiences are people most excited about? ,1547364,17
1547364_image17_3.png,Top 3 most popular mobile AR experiences 2019?,1547364,17
1547364_image19_3.png,What is the main reason for someone to not be interested in mobile AR?,1547364,19
1547364_image19_3.png,"In the year 2019, how many people were unsure if their phone was compatible for mobile AR?",1547364,19
1547441_image12_1.png,In what population is hypertension more prevalent? ,1547441,12
1547441_image12_1.png,What portion of men that are 18 and over experience hypertension?,1547441,12
1550983_image25_1.jpeg,"in 2008, what had the most change in biodiversity regarding wheat bioethanol?",1550983,25
1553874_image131_1.jpeg,What economic sector contributed the least to Greenhouse Gas Emissions in the U.S. in 2016?,1553874,131
1555443_image11_1.png,About what percentage do false alarms make in the total amount of incident calls for a fire station? ,1555443,11
1559371_image111_1.jpeg,What was the revenue of pharr international bridge in 2014?,1559371,111
1568081_image51_1.jpeg,"In 2017, what percentage of total of units sold by Bolivar Aqua Zone where season passes?",1568081,51
1568081_image51_1.jpeg,How many private lesson units were sold by Bolivar Aqua Zone in the 2017 season?,1568081,51
1585980_image14_1.png,"How did South African GDP differ from emerging market GDP in the Finance, real estate and service sector?",1585980,14
1593260_image284_1.jpeg,How much is Ohio State investing in their momentum campaign? ,1593260,284
1593260_image284_1.jpeg,How much did Ohio State University raise from private gifts for the William Oxley Thompson Library Campaign?,1593260,284
1593732_image8_1.png,what year did Brisbane and outer LA's number of sales were at its highest between 2011 and 2021?,1593732,8
1593927_image15_1.png,Is there a difference between how the LSTM behaves depending on the type of activation function?,1593927,15
1617279_image6_2.png,"At Harford County Public Schools in FY15, how many students receiving FARMS funding got free and reduced meals?",1617279,6
1636203_image60_2.png,What vehicles are most pedestrians hit by typically?,1636203,60
1637246_image21_4.png,"Over the years, are more physicians adopting EHR systems?",1637246,21
1637246_image21_4.png,Was EHR systems adopted quicker than basis systems?,1637246,21
1639457_image51_1.png,What was the squatting population in Angeles in percentage of total household in March of 1999? ,1639457,51
1639457_image51_1.png,"What was the population per hospital bed for Baguio, Philippines in 1998? ",1639457,51
1662984_image55_7.jpeg,How satisfied are the residents of Texas with the condition of street signs and traffic signals?,1662984,55
1662984_image55_7.jpeg,What is the satisfaction rate for the overall quality of animal control services in the US?,1662984,55
1662984_image60_6.png,What is the most important reason for living in Missouri City?,1662984,60
1662984_image60_6.png,How important is the affordability of housing for people living in Missouri City?,1662984,60
1678786_image15_3.png,Are there more fish caught by purse seines in Seychelles' or foreign exclusive economic zones? ,1678786,15
1681778_image4_1.png,Did the rising inflation affect households with kids and without kids equally?,1681778,4
1681778_image4_1.png,The inability of parents to manage food security and expenditures increases or decreased from 2014 to 2016?,1681778,4
1686655_image27_18.png,In what country do people believe that the US will always protect Europe the most? ,1686655,21
1690009_image6_1.png,"Out of all the healthcare expenditures in the year 2018, what was UK's maximum expenditure?",1690009,6
1690009_image6_1.png,What is the approximate value of the UK's overall healthcare expenditures in 2018?,1690009,6
1697708_image28_1.jpeg,What type of amphetamines has had the biggest increase?,1697708,28
1697708_image28_1.jpeg,What year did amphetamines nfd decrease the most in percent usage? ,1697708,28
1697708_image32_1.jpeg,Which age group shows the most use of cannabis as a drug of concern? ,1697708,32
1697708_image83_1.jpeg,How many percent of population in South Australia has English as a preferred language?,1697708,83
1697708_image83_1.jpeg,Which age groups had the highest amount of drug treatment services needed in South Australia during 2019-2020? ,1697708,83
1697708_image97_2.jpeg,What substance has the highest proportion of closed treatment episodes? ,1697708,97
1704905_image9_1.png,What was the operating budget for the 2019-21 biennium?,1704905,9
1763467_image25_1.jpeg,Is Tay Valley a major crime contributor to All Lanark County? ,1763467,25
1763467_image28_1.jpeg,How many break & enter crimes occurred in the 1st quarter of 2021 in Tay Valley?,1763467,28
1763467_image28_1.jpeg,"In All Lanark County, how many break and enters occurred in 2020? ",1763467,28
1771121_image9_2.jpeg,"Of the Boomer Generation, what percentage seeks to understand how a charity uses its money before donating? ",1771121,9
1789126_image2_1.jpeg,Which region in Europe has had the most confirmed covid-19 deaths?,1789126,2
1796331_image15_33.jpeg,"According to the Ministry of Health, when did COVID-19 cases in Trinidad and Tobago start noticing a significant rise? ",1796331,18
1796331_image15_33.jpeg,When did the recovery ratio of the COVID-19 patients come closest to positive cases being reported in Trinidad and Tobago?  ,1796331,15
1797289_image13_2.png,Do fathers spend more hours a week on sport activities than mothers do? ,1797289,13
1797289_image13_2.png,"Which parents, fathers or mothers, are more likely to spend their leisure time watching TV?",1797289,13
1813041_image4_1.png,What years had the highest interest rates in the US?,1813041,4
1821485_image3_2.png,Around how much revenue did Apple Airpods generate in 2023?,1821485,3
1821485_image3_2.png,The US Hearable Hardware market has been dominated by which company since 2018?,1821485,3
1826363_image23_19.jpeg,Which domain covers maximum Xen development in 2011?,1826363,5
1826363_image23_19.jpeg,"When considering domains for Xen Development, how much did the xen.org covers in 2011?",1826363,5
1844014_image27_1.jpeg,Which American political party is the least likely to be vaccinated for COVID-19 2020?,1844014,27
1845709_image3_1.png,How much did Texas Treasury Safekeeping Trust Company allocate to emerging markets in 2010?,1845709,3
2017568_image6_13.jpeg,In what year did covid deaths begin to be recorded?,2017568,11
2019379_image15_1.jpeg,Which scenario of the Sixth Carbon budget had a higher consumption rate for economy-wide oil in year 2050?,2019379,15
2019379_image15_1.jpeg,"In 2035, how much consumption of economy-wide oil is predicted for CB6 Widespread Engagement of Sixth Carbon budget?",2019379,15
2029694_image57_2.png,At what income levels did families experience a general decline in interest in degree or certificate undergraduate programs?,2029694,57
2040706_image6_1.png,Where do people expect to work from home the least? ,2040706,6
2041114_image11_4.jpeg,Which age group in the U.S. primarily use cable to watch TV? ,2041114,11
2065810_image6_2.jpeg,"What was the overall preference scent in body oil, clay mask and skin cleanser?",2065810,6
2068804_image15_1.png,Does the majority of stalking incidents result in a protective order? ,2068804,15
2068804_image15_1.png,What percentage of victims report stalking incidents to police?,2068804,15
2085852_image49_1.png,Does yoked older participants' mean reaction time increase or decrease as time spent on task increases?,2085852,49
2085852_image49_1.png,Can younger or older people perform more tasks per minute?,2085852,49
2088268_image3_1.png,In what year was the greatest decline in the S&P 500 index earnings momentum?,2088268,3
2088268_image3_1.png,What year had the greatest decline in momentum for the MSCI UK index earnings between 2016 and 2021?,2088268,3
2094782_image16_6.jpeg,What is the percentage of retail sales on wheat ridge by food stores in 1990?,2094782,16
2095592_image5_1.png,In what year did broadband subscriptions take its highest jump?,2095592,5
2098217_image20_1.png,Which financial crisis in history had the most importance? ,2098217,20
2098217_image20_1.png,when was the first ever global financial crisis of the 21st century?,2098217,20
2098649_image5_1.jpeg,"when considering the levels of teacher decision making, does high tdm increase or decrease the percentile ranking of students proficiency?",2098649,5
2101137_image154_1.png,"In Fall 2010, what percentage of enrollments were male in New Carrington College California?",2101137,154
2105686_image8_3.png,Did more people struggle to afford food in 2013 or in 2008? ,2105686,8
2107306_image40_4.png,What is the third most important value for the Upper Clutha?,2107306,40
2107306_image40_4.png,what is known to be the least important value for the upper clutha?,2107306,40
2108654_image6_1.png,What US political ideology is concerned with protecting the country from outside threats?,2108654,6
2109599_image2_2.png,"How many people were hospitalized in Thailand on May 21, 2021? ",2109599,2
2112586_image47_2.png,Which county had the lowest staff expenditures for all Georgia public libraries in 2020? ,2112586,47
2112586_image47_2.png,Which Georgia county had the highest total staff expenditures per person in fiscal year 2020?,2112586,47
2112777_image8_2.png,How many mobile users have used the AR Core App in the USA?,2112777,8
2112777_image8_2.png,How many mobile users have never been exposed to any type of Augmented Reality Apps in the USA?,2112777,8
2133471_image20_15.jpeg,what country generates the lowest on average gdp from the BRIC countries from 2014-2024?,2133471,10
2150155_image55_2.png,What percentage of survivors of domestic battery cases in Downers Grove in 2019 were Asian? ,2150155,55
2156116_image3_1.png,How many euros is the V. Security and Defense budget?,2156116,3
2177136_image3_2.png,"What is the total number for new cases of COVID reported in Bangkok on May 27, 2021?",2177136,3
2177136_image3_2.png,"How many COVID deaths were reported in Nonthaburi on May 27, 2021?",2177136,3
2183691_image57_1.png,"In 1998, how much electricity is consumed by the residents of Arizona?",2183691,57
2183691_image57_1.png,What was the average price industries had to pay for using electricity across years 1990 to 2013?,2183691,57
2210845_image106_1.jpeg,"After 2030, are median wind prices expected to be above or below what they were in 2019?",2210845,106
2225114_image17_3.png,What city of South Carolina had the biggest population change between 2010 and 2017? ,2225114,17
2226932_image22_1.png,"In Orlando, what is the total % of registered voters?",2226932,22
2226932_image22_1.png,Which cities in Florida have the lowest number of registered voters?,2226932,22
2226932_image46_1.png,"Since President Eisenhower, have trends in the United States shown public trust in the government to have increased or decreased?",2226932,46
2234294_image10_3.jpeg,"Based on AAA Foundation for Traffic Safety, what system has the highest distraction level?",2234294,10
2234294_image10_3.jpeg,Does the Ford MyFord Touch system have a low distraction rating?,2234294,10
2234382_image51_1.png,What is the household income bracket with the greatest percentage of Saint Paul households with no car?,2234382,51
2261140_image24_1.png,How effective are VPNs from limiting advertisers from seeing the websites you visited?,2261140,24
2288866_image3_3.jpeg,Which is the major contributor of greenhouse gasses withing the energy sector?,2288866,3
2288866_image3_3.jpeg,"Is there contribution of Agriculture, Forestry and Land use, in Global greenhouse gas emission?",2288866,3
2296024_image44_2.jpeg,"By 2016, what percentage of trading activities were marked as restrictive measures?  ",2296024,44
2301743_image32_6.jpeg,Which top three countries have the least anxiety? ,2301743,32
2301743_image32_6.jpeg,Which top three countries have the most anxiety?,2301743,32
2311405_image21_1.png,What country had a larger stimulus between 2008-2010 than between 2019-2020?,2311405,21
2314477_image34_1.png,What was the the number of international behaviorists in 1986?,2314477,34
2319195_image27_5.png,How many developing countries are a part of the most prospective country for investment for 2017-2019?,2319195,27
2319195_image27_5.png,Which were the top 3 most prospective countries for investment in 2017-2019?,2319195,27
2322803_image1_1.png,"In December 2020, what was the cumulative return of Russell 2000?",2322803,1
2323377_image31_1.png,How many births occurred in Oceania between 1990 and 2020?,2323377,31
2323377_image31_1.png,"During the period from 2020 to 2050, what is the projected number of births expected to take place in Sub-Saharan Africa?",2323377,31
2336710_image22_1.png,How many obligations did installation of power transmission equipment require for Hurricane Maria?,2336710,22
2336710_image22_1.png,What are some examples of a good or service when a natural disaster occurs?,2336710,22
2372248_image33_2.jpeg,"Over the past 30 years, has income inequality grown or shrank between the wealthiest and poorest Americans?",2372248,33
2372248_image33_2.jpeg,What was the average nominal income for the middle quintile of Americans in 1980?,2372248,33
2384395_image7_1.png,What proportions of Americans thought that the intervention in Iraq was a mistake after 2011?,2384395,7
2384395_image7_1.png,"After the 2008 recession, what percentage of people thought that it was a mistake for the US to send troops to fight in Iraq?",2384395,7
2392676_image6_1.png,what were the top 3 major religious groups in 2010?,2392676,6
2392676_image6_1.png,What percentage of people in the world identify as Muslim?,2392676,6
2410699_image190_1.jpeg,"Between 2003 and 2019, has the household mortgage debt measured by Rabobank increased or decreased over time?",2410699,190
2410699_image190_1.jpeg,When did the total household mortgage debt in Netherlands surpass 700 billion euros?,2410699,190
