query,pdf,page,modality,pdf_page
How many King County residents died by firearms from 2012 to 2016?,1391979,3,text,1391979_4
What was the baseline rate of firearm homicides in King County in 2016?,1391979,3,text,1391979_4
What is the contribution of damaged peatlands towards anthropogenic carbon dioxide emissions?,1161168,20,text,1161168_21
What was the global average atmospheric carbon dioxide concentration in 2019?,1161168,7,text,1161168_8
What was the net loss of Alithya for FY21?,1286502,17,text,1286502_18
"For the year ending March 31, 2021, what would be the consolidated percentage increase for Alithiya Group Inc?",1286502,8,text,1286502_9
"How much did Alithya Group see in revenue for the three months ending March 31, 2021?",1286502,10,text,1286502_11
"What was the estimated cost of damages incurred by the hailstorm of May 8, 2017 in Denver?",1170211,1,text,1170211_2
In what channel is the Dredge Carolina cutterhead lowered?,1170211,0,text,1170211_1
"In 2001, what percentage of strokes were caused by brain clots?",1170211,0,text,1170211_1
What was the annual natural gas consumption of the residential sector in Northbrook in 2018?,1098458,44,text,1098458_45
"In 2021, what will be in the final product of the Climate Action Plan?",1098458,26,text,1098458_27
What was the most common method of travel for workers in Northbrook in 2017?,1098458,58,text,1098458_59
When was AGMAN founded?,1012538,1,text,1012538_2
How many diabetes patients are projected worldwide by the 2030s?,1012538,5,text,1012538_6
"Between June and August 2020, what was the total retail electricity sales across all sectors in the USA? ",1035714,1,text,1035714_2
How much has NYISO been able to reduce emissions and cut carbon emissions? ,1035714,2,text,1035714_3
"In the residential sector of the U.S., what was the decline rate for energy consumption between 2019 and 2020?",1035714,1,text,1035714_2
What is the biggest impact on happiness? ,1114199,6,text,1114199_7
"In 2000, what percentage of the world's population were Europeans?",1114199,7,text,1114199_8
What was the GDP growth target of China for 2021?,1390525,10,text,1390525_11
What was the fine for false advertisement for China-based companies?,1390525,12,text,1390525_13
"During the covid period, what were the major disruptions in rural areas and healthcare that negatively impacted company earnings in India?",1390525,3,text,1390525_4
Why did the Avianca Brasil airline cease its operations?,1201891,21,text,1201891_22
Why do major Brazilian airlines keep spare aircrafts readily available?,1201891,32,text,1201891_33
Which country has the largest emitter?,1381956,4,text,1381956_5
Which African country ranks for having the fourth largest non-G20 emitter of fossil CO2?,1381956,2,text,1381956_3
"As of May 2019, what was the capacity of installed renewable energy in Iran?",1381956,4,text,1381956_5
"By 2030, what is the European Union's target for the consumption of energy produced from renewable resources?",1364267,3,text,1364267_4
What is the goal of the CARISMA project?,1364267,2,text,1364267_3
What does the Australian Went Worth group do?,1230070,2,text,1230070_3
What are the goals of Tarkine National Coalition (TNC)?,1230070,3,text,1230070_4
  What year has introduced a ban for oil in heating by Flemish government?,1150801,13,text,1150801_14
"Instead of a heat pump for a water-based heating system, what is the other renewable alternative for nations with limited heating demand?",1150801,9,text,1150801_10
What is an important step to strengthen multiyear fiscal discipline and ensure debt sustainability?,1268832,17,text,1268832_18
What are the requirements in Banking Law that are insufficient in some areas?,1268832,20,text,1268832_21
"In FY20, what was the estimated decline rate in the GDP of Marshall Islands?",1268832,2,text,1268832_3
What is the most important factor for millennials in choosing a holiday destination?,1109169,7,text,1109169_8
What are the reasons why older millennials spend the most on vacations compared to other generations?,1109169,11,text,1109169_12
"In 2016, which nations had the fastest growth as luxury destinations?",1109169,8,text,1109169_9
What can be done to limit the impact of climate change?,1267098,14,text,1267098_15
Why is low-carbon energy advantageous?,1267098,31,text,1267098_32
What is the largest energy source of the Pacific Northwest?,1267098,78,text,1267098_79
"How many COVID-19 cases were reported in Nevada on July 6, 2020?",1201175,3,text,1201175_4
Which diseases rank as leading causes of death in Nevada?,1201175,0,text,1201175_1
What proportion of Nevada's population was Hispanic in 2017?,1201175,0,text,1201175_1
"{""text"":[""What does the battery system consist of?"",""What does the battery system consist of?""]}",1373468,10,text,1373468_11
What are the most advanced lithium-based batteries on the market?,1373468,9,text,1373468_10
"Instead of lead-based batteries, what are the other alternative options suggested by EUROBAT?",1373468,7,text,1373468_8
Which three members of IORA are projected to experience significant growth by the year 2030?,1338399,3,text,1338399_4
What is the total length of the Mountain Valley Pipeline in the US?,1132524,1,text,1132524_2
What is the projected climate impact of the Mountain Valley Pipeline?,1132524,1,text,1132524_2
How many electric vehicles were registered in the TJPDC region in 2020?,1067991,7,text,1067991_8
What type of vehicle model is more expensive if purchased new?,1067991,19,text,1067991_20
When is the effective date for the implementation of the $88 highway user fee on fuel-efficient 4 and electric vehicles in Virginia?,1067991,20,text,1067991_21
How long is the warranty if the registration for the Daikin Comfort Pro is completed within 60 days of installation?,1159175,1,text,1159175_2
What type of compressor does the Daikin Heat Pump have compared to other units?,1159175,3,text,1159175_4
What feature does Daikin have that keeps the system quieter as it switches into defrost mode?,1159175,3,text,1159175_4
What percentage of people in the Philippines believe that immigrants have a positive impact on the country?,1399720,6,text,1399720_7
How many countries are involved in the YouGov survey on December 2016?,1399720,5,text,1399720_6
"Which country, overall, holds the strongest belief that globalization is a beneficial force?",1399720,6,text,1399720_7
What are the causes of the increased risks of doing business in the Russian Federation?,1342176,11,text,1342176_12
What is the taxation system of the Russian Federation characterized by?,1342176,49,text,1342176_50
What was the initial origin of what eventually became known as the Internet?,1164246,4,text,1164246_5
Which country has the largest tech companies in the world?,1164246,37,text,1164246_38
What are the four key principles for an AI to be called trustworthy?,1164246,55,text,1164246_56
What is it called when we are including some game elements in a non-game activity to make it more lively?,1255446,0,text,1255446_1
What are the two most common sets of wrist physiotherapy exercises?,1255446,2,text,1255446_3
What percentage do PIK/Toggle and deferred interest bonds represent during the years 2006 to 2007?,1010876,1,text,1010876_2
What is the approximate default rate for energy issuers?,1010876,1,text,1010876_2
Where was the Blackstone Research GmbH established?,1139035,3,text,1139035_4
Who is the Blackstone's Board group's president?,1139035,16,text,1139035_17
When was Blackstone Resources AG established?,1139035,3,text,1139035_4
What is the main objective of the Support Vector Machine?,1374729,26,text,1374729_27
What table is used to describe the performance of a classification model on a set of test data?,1374729,29,text,1374729_30
What kind of machines usually apply to regression and classification problems?,1374729,26,text,1374729_27
"{""text"":[""What does Lorraine Wardy love partnering her new purse with?"",""query not realistic""]}",1292903,0,text,1292903_1
Who acknowledge the limitations of a simplistic view of the economy?,1000367,2,text,1000367_3
What is the term used for the exploitation of renewable resources?,1000367,2,text,1000367_3
What is Georgescu-Roegen’s view of sustainability of the economic process?,1000367,5,text,1000367_6
How does the Game of Our Own programme aim to change perceptions among girls?,1409378,6,text,1409378_7
What measures has the Youth Sport Trust implemented to support staff wellbeing during the Coronavirus pandemic?,1409378,40,text,1409378_41
Where does the Youth Sport Trust in the UK get their funding?,1409378,12,text,1409378_13
Which states used the direct entry or mail and direct entry options for the adult family survey in 2016/17?,1416287,8,text,1416287_9
Which organizations oversee the coordination of the National Core Indicators program?,1416287,6,text,1416287_7
 How has the method for calculating the national core indicator’s average changed to better reflect the relative number of people receiving services in participating states systems?,1416287,9,text,1416287_10
Which large-scale commercial plants were established as a result of Martin Vydra's efforts in accessing various markets?,1416620,7,text,1416620_8
What areas of finance does Justin Cochrane specialize in?,1416620,7,text,1416620_8
How does Nickel 28 Capital Corp. focus its business strategy in the battery metals industry?,1416620,0,text,1416620_1
"What is the purpose of determining the independent diagnostic value of CT emphysema, CT air trapping, and CT bronchial wall thickness in low-dose screening CT scans?",1423082,0,text,1423082_1
What CT biomarkers were automatically quantified in the CT scans for COPD diagnosis?,1423082,0,text,1423082_1
is ct or chest radiography more effective in screening for lung cancer,1423082,1,text,1423082_2
what is a likely cause of phenotypes of charcot marie tooth disease?,1428058,16,text,1428058_17
What is hereditary motor and sensory neuropathy commonly referred to as?,1428058,5,text,1428058_6
What are the primary genetic defects associated with hereditary motor and sensory neuropathy types I and II?,1428058,5,text,1428058_6
What measures did Vietnam implement to combat covid?,1441367,0,text,1441367_1
when was the first documented case of covid 19 in vietnam,1441367,0,text,1441367_1
"How did Vietnam's per-capita GDP in 2019 compare to that of other emerging economies such as Indonesia, Thailand, South Africa, and Brazil?",1441367,2,text,1441367_3
Why is URW a high risk?,1442731,1,text,1442731_2
What is the gross Singapore petrol refiner margin?,1445507,2,text,1445507_3
What factors can push prices of crude oil and petroleum products upward in the worldwide marketplace?,1445507,1,text,1445507_2
What is the standard for commercially traded unleaded petrol of Australian grade?,1445507,17,text,1445507_18
What were the conditions that led to the high water levels of Lake Ontario in 2017?,1452082,4,text,1452082_5
how did the city of toronto respond to the affects of the flood conditions in 2017?,1452082,3,text,1452082_4
Who conducted the Secretarial Audit to assess compliance with statutory provisions and adherence to good corporate practices by Winmore Leasing and Holdings Limited for the financial year ending in March 2018?,1456765,17,text,1456765_18
"In 2017/18, what were the two segments of the Winmore Leasing and Holding Limited's business activity?",1456765,7,text,1456765_8
What is the cause of the decline in revenue from operations of the Winmore Leasing and Holding Limited in 2018?,1456765,7,text,1456765_8
What do the greenways serve as on an ecological standpoint? ,1459957,13,text,1459957_14
how can public investment projects like the addition of greenways affect the residents of that city,1459957,1,text,1459957_2
What are the four main characteristics that define greenways?,1459957,10,text,1459957_11
How do perceptions of capability influence the success of girls?,1460829,6,text,1460829_7
when is the best time to encourage girls to pursue a career in stem?,1460829,6,text,1460829_7
What happened when Medicare inpatient prospective payment system was created in 1983 for small rural hospitals?,1462007,8,text,1462007_9
What can rural hospitals do to generate cash flow to meet their operational needs?,1462007,29,text,1462007_30
Which region did the Government Accountability Office reveal as having a disproportionate number of rural hospital closures?,1462007,1,text,1462007_2
"What is the primary contribution of the paper ""Botnets dominate today’s attack landscape"" by Z. Li, A. Goyal, Y. Chen, and V. Paxson?",1464850,0,text,1464850_1
What is the primary cause of misconfiguration at large-scale botnet probing events?,1464850,2,text,1464850_3
What is the primary aim of the International Youth to Youth Summit?,1465272,1,text,1465272_2
What is the purpose of the Y2Y Alumni Network?,1465272,2,text,1465272_3
what is the age demographic of individuals invited to the youth to youth international summit in dubai,1465272,1,text,1465272_2
" What is the approximate increase in the weekly vaccine roll-out due to the additional doses provided by 2,000 pharmacies?",1475216,14,text,1475216_15
How was the Larson Air Force Base repurposed?,1476497,47,text,1476497_48
"What is the purpose of the ""A Night in a Box"" event in Grant County?",1476497,4,text,1476497_5
Who are the primary customers served by Bank of America?,1487957,25,text,1487957_26
"What responsibilities do bank affiliates have regarding securities sold, offered, or recommended by broker-dealers?",1487957,27,text,1487957_28
Which regions were compared to assess rates of intussusception admission before and after the RV vaccine program introduction?,1488545,15,text,1488545_16
What organizations funded the RV immunization program?,1488545,1,text,1488545_2
what part of the body does rotavirus affect,1488545,2,text,1488545_3
What action should policymakers take to address shortages?,1489127,8,text,1489127_9
What are some things the McKell Institute recommended for making early childhood care more accessible?,1489127,5,text,1489127_6
What are some of the symptoms of anaphylaxis? ,1489509,2,text,1489509_3
"What is the purpose of the Universal Description, Discovery, and Integration standard?",1493562,1,text,1493562_2
What was the general theme of the abstract of Dominik Kuropka’s writings?,1493562,0,text,1493562_1
What crucial information does the IAEA lack regarding Iran's nuclear activities?,1496713,31,text,1496713_32
What is the likelihood that Iran has the ability to eventually develop nuclear weapons?,1496713,5,text,1496713_6
What traditional dilemma involves balancing safety and efficiency in traffic management?,1500797,10,text,1500797_11
what us the purpose of safe system assessments?,1500797,8,text,1500797_9
What steps did Nevada Institute for Children's Research staff take to identify perceived barriers to enrollment in the Care4life program?,1500961,23,text,1500961_24
What was the focus of the outreach protocols for increasing smoke-free options within properties?,1500961,13,text,1500961_14
what is the difference between population and sample in statistics,1502288,0,text,1502288_1
What is the purpose of collecting a sample of data from a population?,1502288,0,text,1502288_1
What is the difference between descriptive statistics and inferential statistics?,1502288,1,text,1502288_2
what kind of skills can be developed through musical learning?,1507398,2,text,1507398_3
what area of the brain is the mirror neuron system,1507398,3,text,1507398_4
What are the range of skills developed when learning a musical instrument typically referred to as?,1507398,2,text,1507398_3
What are some considerable strategies for making maternal and child health services more accessible?,1507643,4,text,1507643_5
What was the primary focus of the research on Maternal & Child Health Services in Ethiopia and India in 2020?,1507643,2,text,1507643_3
