query,pdf,page,modality,pdf_page
"In which year, there is a biggest downfall in the Business Enterprise tax of New hampshire?",1312679,12,chart,1312679_13
"In 2021, what is the decline rate in employment of the white population in United States?",1312679,36,chart,1312679_37
"Within the Hispanic community, which gender experienced the most change in employment from February 2020 to February 2021?",1312679,36,chart,1312679_37
"In New Hampshire, for the year 2020, what kind of tax brought the most revenue?",1312679,59,chart,1312679_60
What was the tax revenue for business profits in New Hampshire for the year 2020? ,1312679,59,chart,1312679_60
What proves to be an effective marketing platform for Cockburn city's football games?,1321440,176,chart,1321440_177
Least popular source of advertising for fremantle football club 2019?,1321440,176,chart,1321440_177
Who were the organizers of the City of Cockburn Christmas Event in 2019?,1321440,179,chart,1321440_180
Did majority of people think that the Dockers organized the Cockburn Christmas Collective? ,1321440,179,chart,1321440_180
Which province in Thailand had the least impact on walking and driving during the COVID-19 pandemic in mid-June of 2021?,1333360,11,chart,1333360_12
"In mid-June of 2021, how many new deaths were accounted for due to covid-19 in Bangkok? ",1333360,2,chart,1333360_3
"During mid-June of 2021, how many new cases of covid did the province of Kalasin reported?",1333360,2,chart,1333360_3
What was the reason that caused an outburst of COVID-19 cases at a rapid level within Thailand in June 2018?,1333360,4,chart,1333360_5
What province of Thailand experienced the most Covid cases in the workplace during mid-June of 2021?,1333360,4,chart,1333360_5
What percentage of individuals that heavily use alcohol also use Marijuana?,1334401,35,chart,1334401_36
What percentage of individuals that heavily use opioids also heavily use alcohol?,1334401,35,chart,1334401_36
"In 2010, what was the greenhouse gas emissions from land use value in Kazakhstan? ",1381956,5,chart,1381956_6
What was the conditional number in 2020 of greenhouse gas emissions excluded from land use in Chile? ,1381956,6,chart,1381956_7
What is expected of greenhouse gas emission rate from land use with current policies in Chilie?,1381956,6,chart,1381956_7
What's the cheapest place on earth to mine nickel?,1416620,9,chart,1416620_10
Is Koniambo the most expensive place to mine nickel?,1416620,9,chart,1416620_10
What is the highest percentage of Metallurgical Corporation of China when it comes to pre-loan repayment? ,1416620,3,chart,1416620_4
Does JV interest increase from the pre-loan repayment phase to the post-loan repayment phase?,1416620,3,chart,1416620_4
Was DPT vaccinations in India covered more during pre-covid or post?,1507643,11,chart,1507643_12
what happened to the maternal and child healthcare once covid took place in india?,1507643,11,chart,1507643_12
"Between Ethiopia and India, which one has a higher child mortality percentage? ",1507643,2,chart,1507643_3
What government is thought  by the most people to have much more to do to address climate change? ,1515108,15,chart,1515108_16
What country has the highest percentage of citizens participating in a citizen's campaign?,1515108,19,chart,1515108_20
Where would people be the least likely to participate in actions for climate change? ,1515108,19,chart,1515108_20
Where do people think climate change is happening the most?,1515108,6,chart,1515108_7
Where do people think climate change is happening the least? ,1515108,6,chart,1515108_7
What year had the best satisfaction for mobile AR in games? ,1547364,10,chart,1547364_11
Which year of mobile AR was at its lowest rating of neither satisfied or dissatisfied?,1547364,10,chart,1547364_11
What kind of mobile AR experiences are people most excited about? ,1547364,16,chart,1547364_17
Top 3 most popular mobile AR experiences 2019?,1547364,16,chart,1547364_17
What is the main reason for someone to not be interested in mobile AR?,1547364,18,chart,1547364_19
"In the year 2019, how many people were unsure if their phone was compatible for mobile AR?",1547364,18,chart,1547364_19
In what population is hypertension more prevalent? ,1547441,11,chart,1547441_12
What portion of men that are 18 and over experience hypertension?,1547441,11,chart,1547441_12
What type of amphetamines has had the biggest increase?,1697708,27,chart,1697708_28
What year did amphetamines nfd decrease the most in percent usage? ,1697708,27,chart,1697708_28
Which age group shows the most use of cannabis as a drug of concern? ,1697708,31,chart,1697708_32
How many percent of population in South Australia has English as a preferred language?,1697708,82,chart,1697708_83
Which age groups had the highest amount of drug treatment services needed in South Australia during 2019-2020? ,1697708,82,chart,1697708_83
What substance has the highest proportion of closed treatment episodes? ,1697708,96,chart,1697708_97
Around how much revenue did Apple Airpods generate in 2023?,1821485,2,chart,1821485_3
The US Hearable Hardware market has been dominated by which company since 2018?,1821485,2,chart,1821485_3
