x_title,y_title,other,xlabel,ylabel,chart_title,legend_label,legend_title,mark_label,value_label,info_deplot,caption,input,chart,h,w,left,upper,right,lower,label,conf,pdf,page
,,What factors influence your consumer choices - %of total,Trusted brand - Convenience - Healthy choices - Price - Impad on the environment - Minimal packaging - Reducing waste to landll - Like buying newthings,80% - 100% - 30% - 90% - 40% - 60% - 50% - 10% - 0% - 70% - 20%,What factors influence your consumer choices,Not important2 - Extremely important - Not important2 - -3,,,,TITLE | What factors influence your consumer choices % of total Convenience | 1.5% | 2.6% | 29.4% | 26.6% Healthy choices | 1.2% | 3.1% | 16.9% | 36.9% Impact on the environment and our oceans | 1.3% | 2.2% | 13.5% | 33.5% Like buying newthings | 22.1% | 24.6,,What factors influence your consumer choices  TITLE | What factors influence your consumer choices % of total Convenience | 1.5% | 2.6% | 29.4% | 26.6% Healthy choices | 1.2% | 3.1% | 16.9% | 36.9% Impact on the environment and our oceans | 1.3% | 2.2% | 13.5% | 33.5% Like buying newthings | 22.1% | 24.6  Trusted brand - Convenience - Healthy choices - Price - Impad on the environment - Minimal packaging - Reducing waste to landll - Like buying newthings  80% - 100% - 30% - 90% - 40% - 60% - 50% - 10% - 0% - 70% - 20% Not important2 - Extremely important - Not important2 - -3    What factors influence your consumer choices - %of total,1061225_36_1,1087,1536,0.034100596,0.10050786,0.97256064,0.4391388,chart,0.81207407,1061225,36
,,What's the mostimportant reason for you?,Impad on the environment - Healthy choices - Too hard to pick one - Reducing waste to landfl - Price - Convenience - Minimal packaging - Trusted brand,100% - 40% - 80% - 60% - 20% - 0%,What's the mostimportant reason for you?,Queenstown area - Central Otago - Wanaka area,,,3%5% - 2% - 5% - 5% - 3%5% - 3% - 20%20%17% - 6% - 5% - 12% - 22% - 20%20%17% - 20%20%17% - 15%17% - 13%13%14% - 15%17% - 8% - 16%16% - 21%20%21% - 13%13%14% - 16%16%,TITLE | What's the most important reason for you? % of total by region | Central Otago | Queenstown area | Wanaka area Convenience | 6% | 5% | 2% Healthy choices | 12% | 16% | 16% Impact on the environment and our oceans | 15% | 17% | 22% Minimal packaging | 8% | 5% | 3% Price | 21% | 20% | 21% ,,What's the mostimportant reason for you?  TITLE | What's the most important reason for you? % of total by region | Central Otago | Queenstown area | Wanaka area Convenience | 6% | 5% | 2% Healthy choices | 12% | 16% | 16% Impact on the environment and our oceans | 15% | 17% | 22% Minimal packaging | 8% | 5% | 3% Price | 21% | 20% | 21%   Impad on the environment - Healthy choices - Too hard to pick one - Reducing waste to landfl - Price - Convenience - Minimal packaging - Trusted brand  100% - 40% - 80% - 60% - 20% - 0% Queenstown area - Central Otago - Wanaka area   3%5% - 2% - 5% - 5% - 3%5% - 3% - 20%20%17% - 6% - 5% - 12% - 22% - 20%20%17% - 20%20%17% - 15%17% - 13%13%14% - 15%17% - 8% - 16%16% - 21%20%21% - 13%13%14% - 16%16% What's the mostimportant reason for you?,1061225_37_0,1087,1536,0.023102948,0.11404711,0.9733876,0.42674983,chart,0.87488,1061225,37
,,What's the mostimportant reason for you? % oftotal by income bracket,Trusted brand - Too hard to pick one - Healthy choices - Impac on the environment - Minimal packaging - Price - Convenience - Reducing waste to landll,80% - 20% - 40% - 100% - 60% - 0%,What's the mostimportant reason for you? % oftotal by income bracket,"$125,001-$150,000 - $100,001-$125,000 - $50,001-$75,000 - =$75,001-$100,000 - =$25,001-$50,000 - over$150,000 - $0-$25,000",,,,TITLE | What's the most important reason for you? % of total by income bracket Convenience | 4.1% Healthy choices | 13.4% Impact on the environment and our oceans | 15.8% Minimal packaging | 4.1% Price | 11.9% Reducing waste to landfill | 16.1% Too hard to pick one | 23.3% Trusted brand | 3.1%,,"What's the mostimportant reason for you? % oftotal by income bracket  TITLE | What's the most important reason for you? % of total by income bracket Convenience | 4.1% Healthy choices | 13.4% Impact on the environment and our oceans | 15.8% Minimal packaging | 4.1% Price | 11.9% Reducing waste to landfill | 16.1% Too hard to pick one | 23.3% Trusted brand | 3.1%  Trusted brand - Too hard to pick one - Healthy choices - Impac on the environment - Minimal packaging - Price - Convenience - Reducing waste to landll  80% - 20% - 40% - 100% - 60% - 0% $125,001-$150,000 - $100,001-$125,000 - $50,001-$75,000 - =$75,001-$100,000 - =$25,001-$50,000 - over$150,000 - $0-$25,000    What's the mostimportant reason for you? % oftotal by income bracket",1061225_37_1,1087,1536,0.0,0.5588635,0.9866218,0.9221135,chart,0.84987456,1061225,37
,,,Workshops and talks Community eventsOnline information Online forums/social media - Local shopping information - Workshops and talks Community eventsOnline information Online forums/social - Workshops and talks Community eventsOnline information Online forums/social - Talking to others/sharing ideas - Brochure or flier - Workshops and talks Community eventsOnline information Online forums/social,100% - 90% - 40% - 80% - 70% - 60% - 50% - 30% - 20% - 10% - 0%,Workshops and talks Community eventsOnline information Online forums/social,,,,22% - 50% - 62% - 62% - 40% - 38% - 49%,TITLE | | Workshops and talks | 50% Community events | 49% Online information | 62% Online forums/social media | 40% Local shopping information | 62% Talking to others/sharing ideas | 38% Brochure or flier | 22%,,Workshops and talks Community eventsOnline information Online forums/social  TITLE | | Workshops and talks | 50% Community events | 49% Online information | 62% Online forums/social media | 40% Local shopping information | 62% Talking to others/sharing ideas | 38% Brochure or flier | 22%  Workshops and talks Community eventsOnline information Online forums/social media - Local shopping information - Workshops and talks Community eventsOnline information Online forums/social - Workshops and talks Community eventsOnline information Online forums/social - Talking to others/sharing ideas - Brochure or flier - Workshops and talks Community eventsOnline information Online forums/social  100% - 90% - 40% - 80% - 70% - 60% - 50% - 30% - 20% - 10% - 0%    22% - 50% - 62% - 62% - 40% - 38% - 49% ,1061225_38_0,1087,1536,0.041120026,0.34459645,0.9305054,0.85063267,chart,0.9252238,1061225,38
,,12% - Recyclinginfo - C&D waste/sustainable building - Reducing waste andzero waste shopping - Big picture &Influencing change - 8% - 16% - Composting and growing food - Making your own - Repair - 18%,Composting and growing food,,ing information,,,Repair - Making your own - Recyclinginfo,,TITLE | Making your own_building2.png % Repair | 12% Big picture & Influencing change | 13% Recycling info 16% Composting and growing food 18% Reducing waste andzero waste shopping 30% C&D waste/sustainable building 3% Reducing waste andzero waste shopping 3%,,ing information  TITLE | Making your own_building2.png % Repair | 12% Big picture & Influencing change | 13% Recycling info 16% Composting and growing food 18% Reducing waste andzero waste shopping 30% C&D waste/sustainable building 3% Reducing waste andzero waste shopping 3%  Composting and growing food     Repair - Making your own - Recyclinginfo  12% - Recyclinginfo - C&D waste/sustainable building - Reducing waste andzero waste shopping - Big picture &Influencing change - 8% - 16% - Composting and growing food - Making your own - Repair - 18%,1061225_39_0,1087,1536,0.12491168,0.22724992,0.8812015,0.8111979,chart,0.8314331,1061225,39
,"Male,65+,Wanaka",,Charging more for takeaway cups and - Give a discount for BYO cups and - Sell products in recyclable packaging - Sell goods with no - Encouraging BYO - Reduce and recycle Ask their suppliersto their own waste - Reduce and recycle Ask their suppliersto reduce packaging - Refill systems for,90% - 50% - 80% - 30% - 100% - 40% - 10% - 70% - 60% - 20% - 0%,"Male,65+,Wanaka",2019=2021 - 2019=2021,,,,"TITLE | Male, 65+, Wänaka Encouraging BYO containers | 86.3% Charging more for takeaway cups and containers | 52.6% Give a discount for BYO cups and containers | 66.6% Refill systems for products | 75.8% Sell goods with no packaging | 84.8% Sell products in recyclable packaging | 66.2% Reduce and recycle their own waste | 79.1% Ask their",,"Male,65+,Wanaka  TITLE | Male, 65+, Wänaka Encouraging BYO containers | 86.3% Charging more for takeaway cups and containers | 52.6% Give a discount for BYO cups and containers | 66.6% Refill systems for products | 75.8% Sell goods with no packaging | 84.8% Sell products in recyclable packaging | 66.2% Reduce and recycle their own waste | 79.1% Ask their  Charging more for takeaway cups and - Give a discount for BYO cups and - Sell products in recyclable packaging - Sell goods with no - Encouraging BYO - Reduce and recycle Ask their suppliersto their own waste - Reduce and recycle Ask their suppliersto reduce packaging - Refill systems for Male,65+,Wanaka 90% - 50% - 80% - 30% - 100% - 40% - 10% - 70% - 60% - 20% - 0% 2019=2021 - 2019=2021    ",1061225_40_0,1087,1536,0.06401704,0.5390512,0.9520569,0.92720675,chart,0.8960491,1061225,40
,,"Central Otago 264,26% - Queenstown area, - Wanaka area, 436.44%",,,Where do you live?,,,"Central Otago 264,26%",,"TITLE | Where do you live? Wanaka area, 436, 44% | 436, 44% Queenstown area, 296, 30% | 296, 30% Central Otago, 264, 26% | 264, 26%",,"Where do you live?  TITLE | Where do you live? Wanaka area, 436, 44% | 436, 44% Queenstown area, 296, 30% | 296, 30% Central Otago, 264, 26% | 264, 26%       Central Otago 264,26%  Central Otago 264,26% - Queenstown area, - Wanaka area, 436.44%",1061225_6_0,1087,1536,0.55329853,0.17578994,0.91058886,0.5794962,chart,0.80872923,1061225,6
,,I only shopfor myself (live in shared household) - I do mostof the shoppingformy household - I do all the shoppingformy household - I dont do any of the shopping - I only shopfor myself (live alone) - I do some ofthe shopping for my household - 3% - shared - 23% - 27% - 6% - 40% - I only shopfor - 1% - household),,,What is your role in relation to household shopping?,,,,,TITLE | What is your role in relation to household shopping? I do all the shoppingformy household 27% I only shop for myself(live in shared household) 6% I only shop for myself(live alone) 3% I don't do any of the shopping 1% I do some ofthe shopping for my household 23% I do most of the shoppingformy household 40%,,What is your role in relation to household shopping?  TITLE | What is your role in relation to household shopping? I do all the shoppingformy household 27% I only shop for myself(live in shared household) 6% I only shop for myself(live alone) 3% I don't do any of the shopping 1% I do some ofthe shopping for my household 23% I do most of the shoppingformy household 40%         I only shopfor myself (live in shared household) - I do mostof the shoppingformy household - I do all the shoppingformy household - I dont do any of the shopping - I only shopfor myself (live alone) - I do some ofthe shopping for my household - 3% - shared - 23% - 27% - 6% - 40% - I only shopfor - 1% - household),1061225_7_0,1087,1536,0.07090652,0.5146692,0.5144571,0.92446196,chart,0.9372588,1061225,7
,,$0-$25K - over $150k - 9% - $50k-$75k - $25k-$50K - $125K-$150K - 14% - $100K-$125K - 14% - 17% - 19% - 6% - 21% - $75k-$100k,$75k-$100k,,What is the combined totalincome of your household?,,,,14% - $50k-$75k - 17%,Entity | Value $50k-$75k 19% | 19 $75k-$100k 21% | 21 $100k-$125k 17% | 17 $125k-$150k 9% | 9 $0-$25k | 6,,What is the combined totalincome of your household?  Entity | Value $50k-$75k 19% | 19 $75k-$100k 21% | 21 $100k-$125k 17% | 17 $125k-$150k 9% | 9 $0-$25k | 6  $75k-$100k      14% - $50k-$75k - 17% $0-$25K - over $150k - 9% - $50k-$75k - $25k-$50K - $125K-$150K - 14% - $100K-$125K - 14% - 17% - 19% - 6% - 21% - $75k-$100k,1061225_7_1,1087,1536,0.57580054,0.10648407,0.9002009,0.49407458,chart,0.9015939,1061225,7
,,No - Yes 22% - 78%,,,,,,Yes - No,78% - 22%,TITLE | Yes 22% | 22% No 78% | 78%,,  TITLE | Yes 22% | 22% No 78% | 78%       Yes - No 78% - 22% No - Yes 22% - 78%,1061225_7_2,1087,1536,0.59675485,0.54073125,0.90028626,0.8815561,chart,0.8986493,1061225,7
What is your age?,What is your role in relation to household shopping?,,0-24 years old - 25-34 years old - 35-44 years old - 65+years old - 55-64 years old - 45-54 years old,50 - 200 - 150 - 100 - 300 - 250 - 0,What is your age?,,,,,TITLE | What is your age? | What is your age I do all the | 127 What is your role in relation to household shopping? | 127 0-24 years old | 36 25-34 years old | 226 35-44 years old | 253 45-54 years old | 206 55-54 years old | 115 65+ years old | 101,,What is your age?  TITLE | What is your age? | What is your age I do all the | 127 What is your role in relation to household shopping? | 127 0-24 years old | 36 25-34 years old | 226 35-44 years old | 253 45-54 years old | 206 55-54 years old | 115 65+ years old | 101 What is your age? 0-24 years old - 25-34 years old - 35-44 years old - 65+years old - 55-64 years old - 45-54 years old What is your role in relation to household shopping? 50 - 200 - 150 - 100 - 300 - 250 - 0     ,1061225_7_3,1087,1536,0.05856071,0.11493753,0.51131374,0.5862174,chart,0.78611606,1061225,7
,,,"If you buy take- away food take your own containers? - Use reusable bags Use a reusable cup Look for something Refill or use a refill second hand firstservice for pantry and household - Get broken or damaged items repaired? - Use reusable bags Use a reusable cup Look for something Refill or use a refill when buying fruit or when you have a vegetables? - Take your own container when buying meat.fish or - When you buy fruitvegetables, choose them unpackaged? - Take your own reusable drink bottle rather than buying water? - Take your own reusable bags when shopping? - Use reusable bags Use a reusable cup Look for something Refill or use a refill second hand firstservice for pantry take-away drink? before buying new? - Use reusable bags Use a reusable cup Look for something Refill or use a refill when buying fruit or when you have a take-away drink? before buying new?",40% - 80% - 30% - 50% - 20% - 10% - 60% - 70% - 0%,How often do you.,"Thinking of doing - Always - Once in a while - Usualy - Sometimes - Never and unlikely to - Other (not applicable, not possible",,,,"TITLE | How often do you...? Take your own reusable drink bottle rather than buying water? | 0.75% Take your own reusable bags when shopping? | 0.3% When you buy fruitvegetables, choose them unpackaged? | 0.1% Use reusable bags | 29.9% Use your fruit or vegetables? | 2.9% Use a reusable cup when you have a take-away drink? | 2.2% Look for something else when you have a second hand first aid flow",,"How often do you.  TITLE | How often do you...? Take your own reusable drink bottle rather than buying water? | 0.75% Take your own reusable bags when shopping? | 0.3% When you buy fruitvegetables, choose them unpackaged? | 0.1% Use reusable bags | 29.9% Use your fruit or vegetables? | 2.9% Use a reusable cup when you have a take-away drink? | 2.2% Look for something else when you have a second hand first aid flow  If you buy take- away food take your own containers? - Use reusable bags Use a reusable cup Look for something Refill or use a refill second hand firstservice for pantry and household - Get broken or damaged items repaired? - Use reusable bags Use a reusable cup Look for something Refill or use a refill when buying fruit or when you have a vegetables? - Take your own container when buying meat.fish or - When you buy fruitvegetables, choose them unpackaged? - Take your own reusable drink bottle rather than buying water? - Take your own reusable bags when shopping? - Use reusable bags Use a reusable cup Look for something Refill or use a refill second hand firstservice for pantry take-away drink? before buying new? - Use reusable bags Use a reusable cup Look for something Refill or use a refill when buying fruit or when you have a take-away drink? before buying new?  40% - 80% - 30% - 50% - 20% - 10% - 60% - 70% - 0% Thinking of doing - Always - Once in a while - Usualy - Sometimes - Never and unlikely to - Other (not applicable, not possible    ",1061225_9_0,1087,1536,0.007570602,0.47021717,0.9409756,0.892608,chart,0.8500754,1061225,9
TIME IN HOURS PLATE,INIOOOC.F.S. DISCHARGE,"DICKEYDAM-ADOPTED - 14300FS - 2725S.M. - DEVELOPMENT PROJECT - FOR SPILLWAY DESIGN FLOOD - 25500C.FS. - RAINFALLEXCESS - RESOURCES - DICKEY-LINCOLNSCHOOL LAKES - SAINT JOHN RIVER BASIN, MAINE - 6-HOUR UNIT HYDROGRAPHS - .)ST.OHN RIVER ABOVE NINEMILE BRIDGE GAGE - RAINFALLEXCESS - *UNIT HY DROGRAPHS DEVELOPED - TOTAL - IN DESIGN MEMORANDUM NO.2HYDROLOGY AND - 6,000 C.$ - 3.)RESERVOIR POCL AREA - 39,000 C.F.$ - *UNIT HY DROGRAPHS DEVELOPED IN DESIGN MEMORANDUM NO.2HYDROLOGY AND HYDRAULIC ANALYSISSECTION I-DICKEY DAM- SPILLWAY DESIGN FLOOD DATED MAY I975 - 2)BIGBLACK RIVER ABOVE 9OFT.POOL - .)ST.OHN RIVER ABOVE NINEMILE BRIDGE GAGE - SPILLWAY DESIGN FLOOD DATED MAY I975",36 - 48 - 60 - 12 - 72 - 24 - 84 - 96 - 108 - PLATE,20 - 30 - 10 - 40,.)ST.OHN RIVER ABOVE NINEMILE BRIDGE GAGE,64S.M. - 290SM - 134S.M. - 4.)LOCAL DRAINAGE AREA - H37S.M. - 2)BIGBLACK RIVER ABOVE 9OFT.POOL - 3.)RESERVOIR POCL AREA,,"6,000 C.$ - 25500C.FS. - SAINT JOHN RIVER BASIN, MAINE - 6-HOUR UNIT HYDROGRAPHS - DICKEY-LINCOLNSCHOOL LAKES - 14300FS - DEVELOPMENT PROJECT",,"TITLE | | TIME IN HOURS TIME IN HOURS UNIT HYDROGRAPHS DEVELOPER IN DESIGN MEMORY AND MEMORY TOURING TOURING TOURING SOLITAIRE | RAINFALL, EXCESS RT | 1 | 44 RAINFALL, EXCESS T | 45.05 | 2 | 40.05 RAININFO | 39.05 | 39.05 | 2 | 4.",,".)ST.OHN RIVER ABOVE NINEMILE BRIDGE GAGE  TITLE | | TIME IN HOURS TIME IN HOURS UNIT HYDROGRAPHS DEVELOPER IN DESIGN MEMORY AND MEMORY TOURING TOURING TOURING SOLITAIRE | RAINFALL, EXCESS RT | 1 | 44 RAINFALL, EXCESS T | 45.05 | 2 | 40.05 RAININFO | 39.05 | 39.05 | 2 | 4. TIME IN HOURS PLATE 36 - 48 - 60 - 12 - 72 - 24 - 84 - 96 - 108 - PLATE INIOOOC.F.S. DISCHARGE 20 - 30 - 10 - 40 64S.M. - 290SM - 134S.M. - 4.)LOCAL DRAINAGE AREA - H37S.M. - 2)BIGBLACK RIVER ABOVE 9OFT.POOL - 3.)RESERVOIR POCL AREA  6,000 C.$ - 25500C.FS. - SAINT JOHN RIVER BASIN, MAINE - 6-HOUR UNIT HYDROGRAPHS - DICKEY-LINCOLNSCHOOL LAKES - 14300FS - DEVELOPMENT PROJECT  DICKEYDAM-ADOPTED - 14300FS - 2725S.M. - DEVELOPMENT PROJECT - FOR SPILLWAY DESIGN FLOOD - 25500C.FS. - RAINFALLEXCESS - RESOURCES - DICKEY-LINCOLNSCHOOL LAKES - SAINT JOHN RIVER BASIN, MAINE - 6-HOUR UNIT HYDROGRAPHS - .)ST.OHN RIVER ABOVE NINEMILE BRIDGE GAGE - RAINFALLEXCESS - *UNIT HY DROGRAPHS DEVELOPED - TOTAL - IN DESIGN MEMORANDUM NO.2HYDROLOGY AND - 6,000 C.$ - 3.)RESERVOIR POCL AREA - 39,000 C.F.$ - *UNIT HY DROGRAPHS DEVELOPED IN DESIGN MEMORANDUM NO.2HYDROLOGY AND HYDRAULIC ANALYSISSECTION I-DICKEY DAM- SPILLWAY DESIGN FLOOD DATED MAY I975 - 2)BIGBLACK RIVER ABOVE 9OFT.POOL - .)ST.OHN RIVER ABOVE NINEMILE BRIDGE GAGE - SPILLWAY DESIGN FLOOD DATED MAY I975",1375277_36_0,1160,1536,0.02634449,0.0,0.98800534,0.87846136,chart,0.8263643,1375277,36
JULY 1951 ACCUMULATIVE RAINFALL IN INCHES,DISCHARGE IN IOOO CFS ACCUMULATIVE RAINFALL IN INCHES RAINFALL AND RAINFALL EXCESS IN INCHES PER 6 HOURS,"CLAYTON LAKE,MAINE - LOSSES - RNE EXCESS - EXCESS - 13,100 CFS - 20"" - LOSS - CLAYTON LAKE,MAINE - AVG.RN - 0.37 - 2.20",zo - Z - Z6 - Z - Z9 - Z= - Z8,12,JULY1951,6-HOUR UNIT HYDROGRAPH - OBSERVED HYDROGRAPH - REPRODUCED HYDROGRAPH - LEGEND,LEGEND,2.20 - EXCESS - LOSS,0.37,TITLE | NAME NAME | OBERYED HYDRODRAPH E-HOURL UNIT HOROGRAM O | LISA T | 14 | 14 | 14 | 14 4 R | 10.7 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 5 HOR | 13.3 | 1.7 | 1.8 | 1.0 | 1.2 | 1.,,"JULY1951  TITLE | NAME NAME | OBERYED HYDRODRAPH E-HOURL UNIT HOROGRAM O | LISA T | 14 | 14 | 14 | 14 4 R | 10.7 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 5 HOR | 13.3 | 1.7 | 1.8 | 1.0 | 1.2 | 1. JULY 1951 ACCUMULATIVE RAINFALL IN INCHES zo - Z - Z6 - Z - Z9 - Z= - Z8 DISCHARGE IN IOOO CFS ACCUMULATIVE RAINFALL IN INCHES RAINFALL AND RAINFALL EXCESS IN INCHES PER 6 HOURS 12 6-HOUR UNIT HYDROGRAPH - OBSERVED HYDROGRAPH - REPRODUCED HYDROGRAPH - LEGEND LEGEND 2.20 - EXCESS - LOSS 0.37 CLAYTON LAKE,MAINE - LOSSES - RNE EXCESS - EXCESS - 13,100 CFS - 20"" - LOSS - CLAYTON LAKE,MAINE - AVG.RN - 0.37 - 2.20",1375277_37_0,1057,1536,0.053362068,0.0,0.6372076,0.951846,chart,0.88311136,1375277,37
JULY1954 JUNE1954 ACCUMULATIVE RAINFALL IN INCHES,DISCHARGE IN THOUSANDS OF C.F.S. RAINFALL AND RAINFALL EXCESS IN INCHESPER 6 HOURS ACCUMULATIVE RAINFALL IN INCHES,RNFEXCESS - EXC - 3.60 - 7500 - 2.48 - LOSSES - JUNE - 1954 - CLAYTON CAKEMAINE - AVG.RNF - REPROT UCED HYDRO RAPH - JUNE1954 - 28 - 27,27 - 30 - 28 - 29 - 30 - 27,,AVG.RNF,HR UNTT HYOROGRAPH - LEGEND - QBSERVEDHTOROGRAPH - REPROT UCED HYDRO RAPH,,CLAYTON CAKEMAINE - 7500,,TITLE | NAME ATHLETE | AVG RMIT LOBBY% | NAME ATHLETE KGS% | EXCED% a | 10.000 | 17.09 | 0.000 b | 8.000 | 16.33 | 0.000 c | 8.000 | 16.63 | 0.000 D | 10.000 | 17.63 | 1,,AVG.RNF  TITLE | NAME ATHLETE | AVG RMIT LOBBY% | NAME ATHLETE KGS% | EXCED% a | 10.000 | 17.09 | 0.000 b | 8.000 | 16.33 | 0.000 c | 8.000 | 16.63 | 0.000 D | 10.000 | 17.63 | 1 JULY1954 JUNE1954 ACCUMULATIVE RAINFALL IN INCHES 27 - 30 - 28 - 29 - 30 - 27 DISCHARGE IN THOUSANDS OF C.F.S. RAINFALL AND RAINFALL EXCESS IN INCHESPER 6 HOURS ACCUMULATIVE RAINFALL IN INCHES  HR UNTT HYOROGRAPH - LEGEND - QBSERVEDHTOROGRAPH - REPROT UCED HYDRO RAPH  CLAYTON CAKEMAINE - 7500  RNFEXCESS - EXC - 3.60 - 7500 - 2.48 - LOSSES - JUNE - 1954 - CLAYTON CAKEMAINE - AVG.RNF - REPROT UCED HYDRO RAPH - JUNE1954 - 28 - 27,1375277_38_0,1057,1536,0.059666365,0.0,0.64882714,0.94737446,chart,0.84440994,1375277,38
SEPTEMBER 1954,1000 DISCHARGE RAINFALL AND RAINFALL EXCESS IN INCHES PER 6 HOURS ACCUMULATIVE RAINFALL IN INCHES,5 - O 5 - + - 1954 - FHR ONITI HYOROGRAPH - SEPTEMBER - OASERVED FHYDROGRAP - MAENE - ION - 1954,13 - 14 - 17 - 12 - 18 - 16 - z= - N - N,12 - 10 - CFS - 1000,SEPTEMBER,REPRODUCEDHYDROGRAPH - FHR ONITI HYOROGRAPH - OASERVED FHYDROGRAP - + - GEND,SEPTEMBER,ION,,TITLE | IMAGE | IMAGE W | W | DISTANCE | OTL N | 1088 | 12.7 | 0.0 | 0.0 | 0.0 S | 12 | 11.0 | 8.0 | 8.0 | 1.0 D | 7 | 6.0 | 1.0 | 6.0 | 5.0 K | 12 | 5.0 | 4.0 | 4.0 | ,,SEPTEMBER  TITLE | IMAGE | IMAGE W | W | DISTANCE | OTL N | 1088 | 12.7 | 0.0 | 0.0 | 0.0 S | 12 | 11.0 | 8.0 | 8.0 | 1.0 D | 7 | 6.0 | 1.0 | 6.0 | 5.0 K | 12 | 5.0 | 4.0 | 4.0 |  SEPTEMBER 1954 13 - 14 - 17 - 12 - 18 - 16 - z= - N - N 1000 DISCHARGE RAINFALL AND RAINFALL EXCESS IN INCHES PER 6 HOURS ACCUMULATIVE RAINFALL IN INCHES 12 - 10 - CFS - 1000 REPRODUCEDHYDROGRAPH - FHR ONITI HYOROGRAPH - OASERVED FHYDROGRAP - + - GEND SEPTEMBER ION  5 - O 5 - + - 1954 - FHR ONITI HYOROGRAPH - SEPTEMBER - OASERVED FHYDROGRAP - MAENE - ION - 1954,1375277_39_0,1058,1536,0.057053715,0.0,0.65702564,0.94968975,chart,0.8389226,1375277,39
ELEVATION IN FT.M.S.L. % CHANNEL DISTANCE FROM GAGE,AREA DRAINAGE AND SLOPE AIN STREAM SLOPE,Tc - m - % CHANNEL DISTANCE FROM GAGE - ft./mi. ft./mi. - CtR - % CHANNEL DISTANCE FROM GAGE - BASIN SHAPE FACTOR - METHOD OF FLOW SEPARATION BASIN SHAPE FACTOR - MAP SCALE - AND SLOPE - % CHANNEL DISTANCE FROM GAGE - AIN STREAM SLOPE - % CHANNEL DISTANCE FROM GAGE,80 - i00 - 20 - 40 - 60 - O - tp - CtR - he,100 - 40 - 80 - 60 - 20 - O - 800,ELEVATION IN FT.M.S.L.,,,,,TITLE | ELEVATION IN PT M.S.L. % DRAMACE AREA | ELEVATION % DRAMACE RAPE | ELEVATION % DRAMACE R75 | ELEVEATION % DRAMACE R12 | ELEVEATION % 1944's (1944)s (1944)s (1944)s (1944)s (1944)s (1944)s (1944)s (1944,,ELEVATION IN FT.M.S.L.  TITLE | ELEVATION IN PT M.S.L. % DRAMACE AREA | ELEVATION % DRAMACE RAPE | ELEVATION % DRAMACE R75 | ELEVEATION % DRAMACE R12 | ELEVEATION % 1944's (1944)s (1944)s (1944)s (1944)s (1944)s (1944)s (1944)s (1944 ELEVATION IN FT.M.S.L. % CHANNEL DISTANCE FROM GAGE 80 - i00 - 20 - 40 - 60 - O - tp - CtR - he AREA DRAINAGE AND SLOPE AIN STREAM SLOPE 100 - 40 - 80 - 60 - 20 - O - 800     Tc - m - % CHANNEL DISTANCE FROM GAGE - ft./mi. ft./mi. - CtR - % CHANNEL DISTANCE FROM GAGE - BASIN SHAPE FACTOR - METHOD OF FLOW SEPARATION BASIN SHAPE FACTOR - MAP SCALE - AND SLOPE - % CHANNEL DISTANCE FROM GAGE - AIN STREAM SLOPE - % CHANNEL DISTANCE FROM GAGE,1375277_40_0,1057,1536,0.5079965,0.12791987,0.8915822,0.6923681,chart,0.6034381,1375277,40
TIME IN HOURS PLTTE,IN IOOO C.F.S. DISCHARGE,Tp=14HOURS - ADOPTED-6-HOUR UNIT HYDROGRAPH - SAINT JOHN RIVER BASIN MAINE - DEVELOPMENT PROJECT - DICKEY-LINCOLN SCHOOL LAKES - CCp64022FQp15.CSM - RAINFAL - DA36SQMILES CCp64022FQp15.CSM - RESOURCES - 500 C.FS,30 - 60 - 36 - 66 - 78 - 24 - 90 - 96 - 54 - 48 - 12 - 84 - 42 - 72 - 102 - 18 - PLTTE,10 - 20 - 15,DA36SQMILES CCp64022FQp15.CSM,DEVELOPMENT PROJECT - DICKEY-LINCOLN SCHOOL LAKES,,500 C.FS - DICKEY-LINCOLN SCHOOL LAKES - SAINT JOHN RIVER BASIN MAINE,,TITLE | 31-22 DISTANCE IN 1000 CFS | RAINFALL EXCESS FIT* 20 ROUGH 'EM | 22.24 19 MATCHING '00 | 22.50 21 DISTANCE '00 | 21.50 30 SPRING '00 | 21.50 31 SWE + '01,,DA36SQMILES CCp64022FQp15.CSM  TITLE | 31-22 DISTANCE IN 1000 CFS | RAINFALL EXCESS FIT* 20 ROUGH 'EM | 22.24 19 MATCHING '00 | 22.50 21 DISTANCE '00 | 21.50 30 SPRING '00 | 21.50 31 SWE + '01 TIME IN HOURS PLTTE 30 - 60 - 36 - 66 - 78 - 24 - 90 - 96 - 54 - 48 - 12 - 84 - 42 - 72 - 102 - 18 - PLTTE IN IOOO C.F.S. DISCHARGE 10 - 20 - 15 DEVELOPMENT PROJECT - DICKEY-LINCOLN SCHOOL LAKES  500 C.FS - DICKEY-LINCOLN SCHOOL LAKES - SAINT JOHN RIVER BASIN MAINE  Tp=14HOURS - ADOPTED-6-HOUR UNIT HYDROGRAPH - SAINT JOHN RIVER BASIN MAINE - DEVELOPMENT PROJECT - DICKEY-LINCOLN SCHOOL LAKES - CCp64022FQp15.CSM - RAINFAL - DA36SQMILES CCp64022FQp15.CSM - RESOURCES - 500 C.FS,1375277_41_0,1158,1536,0.02647655,0.008344859,0.99018884,0.8186381,chart,0.91410565,1375277,41
