table,h,w,left,upper,right,lower,label,conf,image,height,paddle_ocr,pdf,page
1375277_15_0,1536,1158,0.18188971,0.107296664,0.80786735,0.34990826,table,0.8898389,../data/bo767_bs16/1375277_15.jpg,0.20217633,Plate Title 2-IV-15 Spillway Design Flood at Lincoln School Dam (Snowmelt Event + Constant Dickey Release) 2-IV-16 Spillway Design Flood at Lincoln School Dam (Snowmelt Event with Dickey Initially Full) 2-IV-17 Lincoln School Dam - Area Capacity Curves 2-IV-18 Tailwater Rating Curves for Lincoln School Da,1375277,15
1375277_20_0,1160,1536,0.0731757,0.2447789039999999,0.936807,0.8576529,table,0.867985,../data/bo767_bs16/1375277_20.jpg,0.5107283300000001,"DA=1,250Square Miles 1932-Present Record Floods Record Floods Monthly Discharge in CFS Winter-Spring Events (Summer Events) Month Mean Maximum Minimum Date Discharge Date Discharge (cfs) (cfs) January 651 1,865 192 29 Apr 1973 29,400 18Sep 1932 16,500 February 492 1,662 119 17 May 1961 28,800 28Jun 1954 13,800 March 618 3,560 181 1 May 1974 26,400 9Nov 1963 12,200 April 3,921 8,699 623 5 May 1933 23,400 24 Aug1971 11,200 May 7,009 13,550 3,403 5 May 1942 22,500 29 Aug 1939 11,000 June 2,340 4,544 719 11 May 1969 22,300 19 Aug 1958 10,400 July 1,440 4,053 365 11May 1959 21,500 13Dec 1950 10,400 August 1,151 4,535 165 23 Apr 1958 19,000 12 Sep1954 10,100 September 1,026 3,133 122 21 Apr1941 17,600 October 1,151 3,776 149 November 1,560 4,628 235 December 1,178 4,549 252 ANNUAL 1,878 2,703 989",1375277,20
1375277_22_0,1536,1160,0.2479213,0.1836831279999999,0.7593772,0.59023756,table,0.9247005,../data/bo767_bs16/1375277_22.jpg,0.33879536,"LINCOLN SCHOOL SUBWATERSHEDS Description Square Miles Saint John River upstream of Ninemile Bridge gage 1290* Big Black River above 910 feet msl full pool elevation 164* Local area between dam site and Ninemile Bridge 1,137* Dickey reservoir area at 910 feet msl full pool elevation 134* Area between Dickey and Lincoln School dam sites 1,361 TOTAL 4,086",1375277,22
1375277_24_0,1158,1536,0.073433995,0.158824804,0.93201566,0.7737337,table,0.9439491,../data/bo767_bs16/1375277_24.jpg,0.51242408,"COMPARATIVE DATA ON ADOPTED UNIT HYDROGRAPHS Lower Allagash Area Between Upper Allagash Plus Lincoln Dickey and River School Local Lincoln School* Ninemile River Dickey Local DAsq.mi.) 720 641 1,361 1,290 1,137 tR(hrs.) 6 6 6 6 6 Qp (cfs) 11,500 20,000 21,500 22,500 39,000 qp (csm) 16.0 31.2 15.8 19.8 34.3 14 14 14 21 11 Ct 2.04 1.66 1.20 2.1 1.6 224 437 221.2 416 377 L(miles) 38 53 91 65.8 16.2 Lca (miles) 16 23 40 29.9 8.3",1375277,24
1375277_25_0,1536,1158,0.13471174,0.68325382,0.86659914,0.8984263,table,0.92625296,../data/bo767_bs16/1375277_25.jpg,0.1793103999999999,"Enclosed Highest 2nd Highest All Other 6-Hr. Isohyet Area 6-Hour PMP 6-Hour PMP Increments sq.mi. Center 10 10.2 2.7 Do not use iso- A 70 8.7 2.4 hyets.Uniform B 635 7.4 2.2 precipitation C 1,660 6.7 2.1 throughout D 3,270 6.1 2.1 drainage. E 5,150 5.7 2.0",1375277,25
1375277_27_0,1165,1536,0.022642404,0.0882458399999999,0.9298003,0.7788867,table,0.93397796,../data/bo767_bs16/1375277_27.jpg,0.57553405,"TABLE 5 PROBABLE MAXIMUM PRECIPITATION Saint John River Above Big Black River Above 910 Dickey Reservoir Area at Local Area Between Dickey Area Between Dickey and Nine Mile Bridge feet msl Pool Elevation Elevation 910 feet msl Damsite and Nine Mile Bridge Lincoln School Damsites DA=1,290 square miles DA =164 square miles DA =134 square miles DA =1137 square miles DA=1361 square miles Adopted Adopted Adopted Adopted Adopted Rainfall Pattern Rainfall Pattern Rainfall Pattern Rainfall Pattern Rainfall Pattern Time Rainfall Excess of Excess Rainfall Excess of Excess Rainfall Excess of Excess Rainfall Excess of Excess Rainfall Excess of Excess hrs) - - 6 5.60 5.30 5.20 4.90 6.20 6.20 0.07 5.80 5.50 7.60 7.30 12 1.90 1.60 1.80 1.50 2.10 2.10 0.08 2.00 1.70 2.00 1.90 18 0.70 0.40 0.70 0.40 0.70 0.70 0.25 0.70 0.40 0.70 0.40 24 0.70 0.40 0.70 0.40 0.70 0.70 0.25 0.70 0.40 0.70 0.40 30 0.25 0.40 0.25 0.40 0.25 0.25 0.70 0.25 0.40 0.25 0.40 36 0.25 1.60 0.25 1.50 0.25 0.25 2.10 0.25 1.70 0.25 1.90 42 0.25 5.30 0.25 4.90 0.25 0.25 6.20 0.25 5.50 0.25 7.30 48 0.25 0.40 0.25 0.40 0.25 0.25 0.70 0.25 0.40 0.25 0.40 54 0.08 - 0.08 0.08 0.08 0.25 0.08 0.08 - 60 0.08 0.08 0.08 0.08 0.25 0.08 0.08 - 66 0.07 0.07 - 0.07 0.07 0.08 0.07 0.07 - 72 0.07 0.07 0.07 0.07 0.07 0.07 - 0.07 - Totals 10.20 7.70 7.70 9.70 7.20 7.20 11.00 11.00 11.00 10.50 8.00 8.00 12.30 10.00 10.00",1375277,27
1375277_31_0,1536,1158,0.1368698,0.6171102199999999,0.8630727,0.7104485,table,0.7856141,../data/bo767_bs16/1375277_31.jpg,0.0777819,"Op 144.500cfs 234400 cfs* 339,600cfs tp 90hrs 54 hrs 60hrs qp 53csm 172csm 83csm DA 2,725sq.mi. 1361 sq.mi. 4,086 sq.mi.",1375277,31
1375277_31_1,1536,1158,0.22935262,0.211486818,0.8624995,0.29962587,table,0.76027054,../data/bo767_bs16/1375277_31.jpg,0.07344921,Peak Discharge from Allagash Peak Discharge Dickey Dam Plus Lincoln at Lincoln Peak Outflow School Local Inflow School Dam,1375277,31
1375277_35_1,1059,1536,0.7287597,0.661064902,0.8918719,0.71626705,table,0.60313874,../data/bo767_bs16/1375277_35.jpg,0.04600179,,1375277,35
1375277_40_0,1057,1536,0.13483474,0.60425172,0.65489495,0.83979,table,0.84929067,../data/bo767_bs16/1375277_40.jpg,0.1962819,"O 24 48 72 96 120 144 O 20 TIME AFTER START OF RAINFALL EXCESS IN HOURS CHA DATA FROM OBSERVED UNIT HYDROGRAPHS AVE. RAINFALL EXCESS LcP STAGE QpR Qp 'PR tp ty CtR C640 Km TC DATE OF RAINFALL LEGEND P DURATION AMOUNT (mi.) RECORD (cfs.) tr=6hrs (In.) hr.) (In.) (cfs.) (hr.) (hr.) (hr.) (hr.) (hr.) (1) (2) (3) (4 (5) (6) (7 8 (9) (10) (11) 12 13 14) 15 16) AUGUST 1954 2.95 18 0.67 UNIF REC 10,200 11000 27 54 240 AUGUST 1971 2 2.35 6 0.50 UNIF REC 11200 11200 21 49 190 JULY 1962 3.04 12 0.69 UNIF REC 9,400 9750 39 56 300 AUGUST 1958 4 1.94 6 0.61 UNIF REC 10.050 10,050 33 47 260 JULY 1951 2.20 12 0.37 UNIF REC 10800 13,100 21 45 220 SEPTEMBER1954 3.20 18 0.75 UNIF REC 11,350 12,600 15 42 150 JUNE 1954 3.60 18 1.12 UNIF REC 1054012750 2147 210 ACCOMPLISHED 1N CONJUNCTION WITH COMPUTER PROGRAM. UNIT HYDROGRAPH & LOSS RATE OPTIMIZATION",1375277,40
1375277_6_1,1536,1158,0.10987818,0.1335149,0.9091757,0.83126426,table,0.5207765,../data/bo767_bs16/1375277_6.jpg,0.5814577999999999,DICKEY-LINCOLN SCHOOL LAKES MAINEU.S.A.ANDQUEBECCANADA DESIGN MEMORANDA INDEX Date Date Number Title Submitted Approved 1 Site Selection 28 Apr 67 8Jun 67 2 Hydrology and Hydraulic Analysis Section I -Climatology and Streamflow 21 Apr 67 1Jun 67 Section II -Stream Diversion at Dickey 12 Oct67 Section IIA- Stream Diversion at Dickey (Revised) Section III -Dickey Dam-Spillway Design Flood 27May 75 30 Jun75 Section IV -Lincoln School Dam Spillway Design Flood 21 Apr 76 Section V -Flood Analysis and Reservoir Regulation 3 Hydropower Capacity and Project Economics 4 General Design 18 May 67 10Aug 67 4A General Design (Revised) 5 Water Quality 6 Site Geology 7 Dickey Dam-Diversion Works 8 DickeyDam-Foundations &,1375277,6
1375277_8_1,1536,1158,0.11948288,0.071330746,0.90150636,0.63024163,table,0.51890314,../data/bo767_bs16/1375277_8.jpg,0.46575907,"DESIGN MEMORANDA INDEX Date Date Number Title Submitted Approved 22 Lincoln School Dam -Hydro- Electric Plant Powerhouse and Switchyard 23 Concrete Materials 24 Shop and Housing Areas (Construction Facilities) 25 Real Estate -Dam Sites -Reservoir Areas 26 Relocation - Roads, Cemeteries and Utilities 27 Reservoir Clearing 28 Real Estate - Cemeteries -Relocations 29 Recreational Facilities 30 Master Plan",1375277,8
1422550_10_0,1536,1187,0.14048761,0.11322928,0.73132867,0.45136678,table,0.87282073,../data/bo767_bs16/1422550_10.jpg,0.28178125,"There are more than 120 previous studies to mine for info 1st Author Year Pianet Population Escape rate Measurement (incl. potential Energy range solar euv str. Lundin 2008Mars 2-3.3e24 1/s MeasurementMEX Lundin 2008Mars All ions 2e24-3e24 1/s Measurement:MEX Lundin 2004 McComas 1986 Venus O+ 6e241/s Measurement:PVO +Langmuir McComas 1986 Venus 7 5e241/s Measurement:PVO plasma analyzer McComas 2016Pluto All heavy ions .5e241/s Moore 1990 Nilsson 2012 Earth O+ 10e251/s Measurement; Cluster/CODIF Nilsson 2012 Mars MeasurementMEX Nilsson 2012 Mars All ions 2e24-3e24 1/s MeasurementMEX Nordstrom 2013 Earth Nordstrom 2013 Venus All heavy ions 4.3e24+-1.3e241/s Penz 2004 Peterson 2001 Earth O+ 1.724 MeasurementTiMAS on Polar 15eV-33.000 Average acquired 1996 to 19 Peterson 2001 Earth H+ 1.4-1.5e25 Measurement;TIMAS onPolar 15eV-33.000 Average acquired 1996 to 19 Peterson 2001 Earth He+ 0.5-1.1e24 MeasurementTIMAS on Polar 15eV-33,000 Average acquired 1996 to 19 Rahmati 2017 Ramstad 2013Mars All ions 2e25-3e25 1/s Measurement:Phobos-2 Ramstad 2015 Mars ? 2.6e24 +-.6e24)1/s MeasurementMAVEN Rosenbauer 1989Mars 0+ 3e251/s Measurement:Phobos 2 Schilling 2019 Earth 0+ 10e251/s Measurement Cluster/CODIF Seki 2001 Shelley 1972 Siapak 2017 Earth O+ 1e241/s Measurment:Cluster/CODIF Tian 2013 Tian 2008 Vaisberg 1977 Mars ? 1e251/s Measurement:RIEP",1422550,10
1479052_0_0,1536,1087,0.11412074,0.1593719499999999,0.90031123,0.39882907,table,0.9762181,../data/bo767_bs16/1479052_0.jpg,0.1995476,"Job Title Domestic Violence Specialist Practitioners-Female X2 Salary 26,350pro-rata Actual15,834 Responsible to AAT Team Leader 21 hours per week. Shifts:1.30pm-9pm Tuesday -Sunday on a Hours rota basis Location Elland Road Police Station-Control Room",1479052,0
1598224_76_1,1080,1440,0.03151959,0.0536669559999999,0.90770805,0.8747857,table,0.57431245,../data/bo767_bs16/1598224_76.jpg,0.68426562,Mecklenb Forsyth Surry Pitt Wake Rockingham 10 Haywood Robeson 2 Cumberland Gaston Durham Guilford + 0 500 1000 1500 2000 Numberof Murders,1598224,76
1620834_10_1,1536,1187,0.24967852,0.15138123,0.7910508,0.44288853,table,0.7869391,../data/bo767_bs16/1620834_10.jpg,0.24292275,"Cases by Clerk by County South Dakota Court Size Rankings FY20 Clerk Cases per by Total Filings,FY20 FTE Clerk Minnehaha 56,735 41.00 1.384 Pennington 23,583 27.00 873 Lincoln 8,676 5.00 1,735 Brown 7,712 7.55 1.021 Codington 6,929 6.00 1,155 Brookings 6,435 5.50 1,170 Lawrence 5,834 6.00 972 Meade 5,746 5.13 1.120 Yankton 5,229 6.00 872 Davison 4,523 5.00 905 21",1620834,10
1620834_10_2,1536,1187,0.27008066,0.824546108,0.7640967,0.85228544,table,0.775993,../data/bo767_bs16/1620834_10.jpg,0.0231161099999999,12.00 1st Circuit 2nd Circuit 3rd Circuit 4th Circuit 5th Circuit 6th Circuit 7th Circuit Staffing 2.82 9.84 1.91 1.00 -0.04 5.27 1.56,1620834,10
1620834_11_0,1536,1187,0.35459825,0.0995042079999999,0.64246786,0.44881204,table,0.9091261,../data/bo767_bs16/1620834_11.jpg,0.29108986,"Court Services Officers Case Status Type Value (WLV) Worklosd Ist Circuit 2nd Circuit A.JUVENILE PHSCS Reports:Violent Crimes 567.87 4 4 B.JUVENLE PHSCS ReportCommon PSI 567.87 38 44 C.JUVENIE Supplemental PHSC5 Reports 567.87 4 3 D.JUVENILE Diversion Cases 257.10 19 135 EJUVENILE Interim Order Cases 2.050.31 7 0 F.JUVENILE New (1st 15 days) 306.49 251 387 G.JUVENILEAdministrative Cases 232.07 31 47 H. JUVENIL Low Services Cases 654.67 23 86 JUVENILE Medium Services Cases 1,761.64 33 62 LJUVENILE High Service Cases 2,077.71 20 10  JUVENILE Intensive Services Cases 9,666.40 23 9 LUVENE Case Service Monitoring (unsupervised) 164.10 0 45 .ADULT PSI Reports: Viotent Crimes 559.56 21 16 O.ADULT PSI Reports:Common 260.02 211 169 P.ADULT Supplemental PSI 144.96 29 23 ADULT New (1st 15 days) 65.70 570 1436 R.ADULT Administrative Cases 57.02 204 297 S.ADULT Low Services Cases 435.32 90 204 ADULT Medium Services Cases 912.10 258 811 J.ADULT High Services Cases 1,306.17 177 543 V.ADULT Intensive Service Cases 3,076.16 25 W.ADULT Case Service Monitoring (unsupervised) 56.51 0 93 Y.HOPE Probation Individuals 1533.97 23 1 JDAI annual minutes (7th Circuit) 36,309 0 0 Total Cases by Circuit 2,039 2,258,197 4,449 ase-specific Work Minutes (sum of wfv x cases) 1.137,779 CSO Annual Availability 86,460 86,460 ubtract Annual Non-Case-Related Time 23,187 23,187 btract Annual Travel Time 4,978 1,385 SO Annual Case-Related Availability 58,295 61,888 SO FTEDemand 19.52 36.49 rent CSO FTE Allocated 19.00 29.00 Fotal CSO Surplus/(Deficit) (0.52) (7.49)",1620834,11
1620834_12_0,1536,1187,0.30245548,0.138821456,0.69818765,0.3921413,table,0.9266304,../data/bo767_bs16/1620834_12.jpg,0.21109987,Incoln County Staffing Projection Current 5 year 10 year Judge-2 2.37 3.26 4.15 Clerk-5 8.21 10.71 13.21 CSO/Staff-3 3.0 4.13 5.67 Court 0 1.0 1.0 Recorder IT Staff 0 1.0 1.0 Total 13.58 20.09 25.03,1620834,12
1620834_14_0,1536,1187,0.24870217,0.091231882,0.7524029,0.39670375,table,0.8918806,../data/bo767_bs16/1620834_14.jpg,0.25455989,Lincoln County Staffing Projections Current 5 year 10year 20year Judge-2 2.37 3.26 4.15 5.70 Clerk-5 8.21 10.71 13.21 18.21 CSO/Staff-3 3.0 4.13 5.67 7.80 Court 0 1.0 1.0 1.0 Recorder IT 0 1.0 1.0 1.0 Total 13.58 20.09 25.03 33.71,1620834,14
1620834_5_0,1536,1187,0.6504047,0.194767064,0.7835834,0.3235961,table,0.93103176,../data/bo767_bs16/1620834_5.jpg,0.10735753,"South Dakota Court Size Rankings by Total FilingsFY20 Minnehaha 56,735 Pennington 23,583 Lincoln 8,676 Brown 7,712 Codington 6,929 Brookings 6.435 Lawrence 5,834 Meade 5,746 Yankton 5,229 Davison 4,523",1620834,5
1620834_5_1,1536,1187,0.21519397,0.318283912,0.34860882,0.4351138,table,0.9076523,../data/bo767_bs16/1620834_5.jpg,0.0973582399999999,"South Dakota Court Size Rankings by Total Fings.FY11 Minnehaha 64,660 Pennington 32,125 Brown 11,550 Yankton 7,431 Codington 6,789 Brookings 6,636 Lawrence 6,608 Meade 6,417 Lincoln 5,859 Davison 5,807",1620834,5
1620834_5_3,1536,1187,0.504853,0.230746932,0.63662755,0.35325858,table,0.8996589,../data/bo767_bs16/1620834_5.jpg,0.1020930399999999,"South Dakota Court Size Rankings by Total FilingsFY19 Minnehaha 57,980 Pennington 27,258 Lincoin 8,217 Brown 8,184 Codington 8.022 Brookings 7,541 Lawrence 6,516 Meade 5,885 Yankton 5,477 Davison 5,130",1620834,5
1620834_5_4,1536,1187,0.36026904,0.264466912,0.4909852,0.38785672,table,0.88602924,../data/bo767_bs16/1620834_5.jpg,0.1028248399999999,"South Dakota Court Size Rankings by Total Filings.FY18 Minnehaha 61,982 Pennington 29,503 Brown 9,046 Lincoln 8,546 Codington 7,956 Brookings 7,866 Lawrence 6,291 Yankton 6,158 Meade 6,073 Davison 5.750",1620834,5
1620834_5_5,1536,1187,0.22657883,0.7941582920000001,0.76889986,0.8366387,table,0.87573236,../data/bo767_bs16/1620834_5.jpg,0.0354003399999999,". FY13 FY14 FY15 FY16 FY17 FY18 FY19 FY20 Civ/Small Claims 2,361 2,505 2,075 2,439 2,733 2,743 3,192 3,274 Criminal/Traffic 3,153 3,544 4,353 4,535 5,113 5,472 5,025 5.402 Total Cases 5,514 6,049 6.428 6,974 7.846 8.215 8,217 8,676",1620834,5
1620834_6_1,1536,1187,0.22727986,0.370971746,0.7726827,0.39481583,table,0.71733063,../data/bo767_bs16/1620834_6.jpg,0.0198700699999999,FY09 FY10 FY11 FY12 FY13 FY14 FY15 FY16 FY17 FY18 FY19 FY20 --Felonies 144 152 115 146 148 233 250 230 279 363 442 470,1620834,6
1620834_9_1,1536,1187,0.3070245,0.65431489,0.6923298,0.83156395,table,0.8742296,../data/bo767_bs16/1620834_9.jpg,0.14770755,"Total Case Circuit Total Filings Total Clerk FTE Filings per Clerk 2nd 65,411 46 1422.0 7th 28,030 31.5 889.8 3rd 27.260 30.18 903.2 1st 24,835 29.69 836.5 5th 16,261 19.2 846.9 4th 15,865 17.58 902.4 6th 10,468 17.33 604.0 TOTAL 188,130 191.48",1620834,9
1620834_9_3,1536,1187,0.255252,0.38936842,0.78521985,0.4171468,table,0.52426684,../data/bo767_bs16/1620834_9.jpg,0.0231486499999999,-5.00 1st Circuit 2nd Circuit 3rd Circuit 4th Circuit 5th Circuit 6th Circuit 7th Circuit Staffing FY20 1.07 -4.42 0.83 0.89 -0.25 1.42 0.44,1620834,9
1666072_0_0,1536,1086,0.05998053,0.49640264,0.95568377,0.6428126,table,0.9477661,../data/bo767_bs16/1666072_0.jpg,0.1220082999999999,"EC Number: 254-056-8 Specific Glyphosate pH Appearance Batch Manufacturing Quantity Packing gravity acid content (undiluted) (Yellowish liquid, No. Date at 20C free from foreign 342-378 g/L 4.8-5.2 1.15-1.17 materials) A28368 8,320LIT 20L 16-10-2018 365.0 1.17 4.8 Pass A28369 8,320LIT 20L 16-10-2018 358.4 1.17 4.8 Pass",1666072,0
1690009_28_0,1536,1086,0.056725055,0.0,0.90434676,0.59115213,table,0.8491823,../data/bo767_bs16/1690009_28.jpg,0.51797694,"Table 2:Reconciliation between the UK Health Accounts and ""Expenditure on healthcare in the UK'series fo 2018 2018 %of billions GDP Expenditure on healthcare in the UK 191.6 8.9% Capital expenditure -7.5 -0.4% Changes to government expenditure Addition of healthcare services provided by government bodies other than health 0.4 0.0% departments Addition of health-related social care 14.0 0.7% Addition of Carer's Allowance 3.2 0.1% Addition of compensation recovery scheme income from private revenues 0.2 0.0% Other changes to government expenditure -0.5 0.0% Changes to out-of-pocket expenditure Transfer of health insurance claims from out-of-pocket expenditure to insurance expenditure -2.8 -0.1% Addition of long-term care health 11.4 0.5% Other change to out-of-pocket expenditure 0.8 0.0% Changes to voluntary health insurance expenditure Transfer of health insurance claims from out-of-pocket expenditure to insurance expenditure 2.8 0.1% Other changes to insurance expenditure 1.1 0.1% Changes to other financing schemes Changes to expenditure by NPISH -1.3 -0.1% Addition of Enterprise financing 1.0 0.0% UK Health Accounts 214.2 10.0%",1690009,28
